,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,110853,0.999918,,,,,
1,123353,0.999959,,,,,
2,135853,0.999754,,,,,
3,148353,0.999754,,,,,
4,160853,0.999343,,,,,
5,173353,0.999302,,,,,
0,153327,,0.999651,,,,
1,165827,,0.999651,,,,
2,178327,,0.999466,,,,
3,190827,,0.999446,,,,
4,203327,,0.998912,,,,
5,215827,,0.998789,,,,
0,212115,,,0.99846,,,
1,224615,,,0.99846,,,
2,237115,,,0.998234,,,
3,249615,,,0.998152,,,
4,262115,,,0.997639,,,
5,274615,,,0.997536,,,
0,286301,,,,0.994292,,
1,298801,,,,0.994251,,
2,311301,,,,0.993923,,
3,323801,,,,0.9938,,
4,336301,,,,0.993266,,
5,348801,,,,0.992855,,
0,211693,,,,,0.952511,
0,905455,,,,,,0.0227077
