,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,73605,0.991518,,,,,
1,86105,0.991464,,,,,
2,98605,0.991277,,,,,
3,111105,0.991171,,,,,
4,123605,0.990904,,,,,
5,136105,0.990851,,,,,
0,93050,,0.976927,,,,
1,105550,,0.97682,,,,
2,118050,,0.976686,,,,
3,130550,,0.97658,,,,
4,143050,,0.976313,,,,
5,155550,,0.97626,,,,
0,135525,,,0.944277,,,
1,148025,,,0.944224,,,
2,160525,,,0.944037,,,
3,173025,,,0.943957,,,
4,185525,,,0.943637,,,
5,198025,,,0.943637,,,
0,213158,,,,0.881325,,
1,225658,,,,0.881325,,
2,238158,,,,0.881112,,
3,250658,,,,0.880978,,
4,263158,,,,0.880605,,
5,275658,,,,0.880578,,
0,220815,,,,,0.817867,
0,871254,,,,,,0.00704207
