,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,356216,0.999593,,,,,
1,368716,0.999534,,,,,
2,381216,0.999554,,,,,
3,393716,0.999398,,,,,
4,406216,0.999437,,,,,
5,418716,0.999166,,,,,
0,488145,,0.998545,,,,
1,500645,,0.998409,,,,
2,513145,,0.998409,,,,
3,525645,,0.998215,,,,
4,538145,,0.998312,,,,
5,550645,,0.997982,,,,
0,619953,,,0.995033,,,
1,632453,,,0.994839,,,
2,644953,,,0.994819,,,
3,657453,,,0.994625,,,
4,669953,,,0.994703,,,
5,682453,,,0.994218,,,
0,751284,,,,0.985234,,
1,763784,,,,0.98504,,
2,776284,,,,0.98502,,
3,788784,,,,0.984691,,
4,801284,,,,0.984671,,
5,813784,,,,0.984147,,
0,164053,,,,,0.999942,
0,1414394,,,,,,1.94035e-05
