,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,110853,0.00532981,,,,,
1,123353,0.00524966,,,,,
2,135853,0.00520959,,,,,
3,148353,0.00509938,,,,,
4,160853,0.00507935,,,,,
5,173353,0.0051094,,,,,
0,153327,,0.00104192,,,,
1,165827,,0.00104192,,,,
2,178327,,0.00104192,,,,
3,190827,,0.00104192,,,,
4,203327,,0.00104192,,,,
5,215827,,0.00104192,,,,
0,212115,,,2.00369e-05,,,
1,224615,,,2.00369e-05,,,
2,237115,,,2.00369e-05,,,
3,249615,,,2.00369e-05,,,
4,262115,,,2.00369e-05,,,
5,274615,,,2.00369e-05,,,
0,286301,,,,0.0,,
1,298801,,,,0.0,,
2,311301,,,,0.0,,
3,323801,,,,0.0,,
4,336301,,,,0.0,,
5,348801,,,,0.0,,
0,211693,,,,,0.15765,
0,905455,,,,,,0.0
