,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,73605,0.00082032,,,,,
1,86105,0.000860336,,,,,
2,98605,0.000790308,,,,,
3,111105,0.000810316,,,,,
4,123605,0.0007703,,,,,
5,136105,0.000790308,,,,,
0,93050,,0.000200078,,,,
1,105550,,0.000200078,,,,
2,118050,,0.000200078,,,,
3,130550,,0.000200078,,,,
4,143050,,0.000200078,,,,
5,155550,,0.000200078,,,,
0,135525,,,3.00117e-05,,,
1,148025,,,3.00117e-05,,,
2,160525,,,3.00117e-05,,,
3,173025,,,3.00117e-05,,,
4,185525,,,3.00117e-05,,,
5,198025,,,3.00117e-05,,,
0,213158,,,,0.0,,
1,225658,,,,0.0,,
2,238158,,,,0.0,,
3,250658,,,,0.0,,
4,263158,,,,0.0,,
5,275658,,,,0.0,,
0,220815,,,,,0.0171767,
0,871254,,,,,,0.0
