,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,356216,0.960319,,,,,
1,368716,0.960278,,,,,
2,381216,0.960236,,,,,
3,393716,0.960174,,,,,
4,406216,0.960153,,,,,
5,418716,0.960153,,,,,
0,488145,,0.890945,,,,
1,500645,,0.890945,,,,
2,513145,,0.890821,,,,
3,525645,,0.890862,,,,
4,538145,,0.890738,,,,
5,550645,,0.890717,,,,
0,619953,,,0.806465,,,
1,632453,,,0.806465,,,
2,644953,,,0.806299,,,
3,657453,,,0.806278,,,
4,669953,,,0.806196,,,
5,682453,,,0.806175,,,
0,751284,,,,0.707646,,
1,763784,,,,0.707625,,
2,776284,,,,0.707522,,
3,788784,,,,0.707377,,
4,801284,,,,0.707169,,
5,813784,,,,0.707149,,
0,164053,,,,,0.992623,
0,1414394,,,,,,0.0
