,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,73605,0.999921,,,,,
1,86105,0.999901,,,,,
2,98605,0.999822,,,,,
3,111105,0.999743,,,,,
4,123605,0.999644,,,,,
5,136105,0.999347,,,,,
0,93050,,0.999921,,,,
1,105550,,0.999881,,,,
2,118050,,0.999822,,,,
3,130550,,0.999743,,,,
4,143050,,0.999624,,,,
5,155550,,0.999328,,,,
0,135525,,,0.999466,,,
1,148025,,,0.999427,,,
2,160525,,,0.999347,,,
3,173025,,,0.999189,,,
4,185525,,,0.999031,,,
5,198025,,,0.998794,,,
0,213158,,,,0.996638,,
1,225658,,,,0.996421,,
2,238158,,,,0.996342,,
3,250658,,,,0.996144,,
4,263158,,,,0.995926,,
5,275658,,,,0.995808,,
0,220815,,,,,0.975182,
0,871254,,,,,,0.00885918
