,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,71039,1.0,,,,,
1,83539,1.0,,,,,
2,96039,1.0,,,,,
3,108539,0.999976,,,,,
4,121039,0.999952,,,,,
5,133539,0.999988,,,,,
0,85283,,0.999976,,,,
1,97783,,0.999976,,,,
2,110283,,0.999976,,,,
3,122783,,0.999952,,,,
4,135283,,0.999928,,,,
5,147783,,0.999952,,,,
0,112152,,,0.999689,,,
1,124652,,,0.999689,,,
2,137152,,,0.999677,,,
3,149652,,,0.999665,,,
4,162152,,,0.999641,,,
5,174652,,,0.999653,,,
0,158128,,,,0.998529,,
1,170628,,,,0.998529,,
2,183128,,,,0.998517,,
3,195628,,,,0.998493,,
4,208128,,,,0.998469,,
5,220628,,,,0.998481,,
0,452478,,,,,0.134077,
0,554797,,,,,,0.000490249
