,Memory usage,Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,46956,0.815112,,,,,,
1,93840,0.571115,,,,,,
2,140722,0.431556,,,,,,
3,187606,0.32812,,,,,,
4,234488,0.243423,,,,,,
5,281373,0.184381,,,,,,
6,328254,0.138567,,,,,,
7,375136,0.105576,,,,,,
8,422023,0.0791202,,,,,,
9,468901,0.0606528,,,,,,
0,28573,,0.933251,,,,,
1,45969,,0.880046,,,,,
2,63368,,0.810695,,,,,
3,80765,,0.740465,,,,,
4,98162,,0.676759,,,,,
5,115559,,0.620478,,,,,
6,132957,,0.573177,,,,,
7,150354,,0.527329,,,,,
8,167751,,0.491825,,,,,
9,185148,,0.45791,,,,,
0,48983,,,0.894739,,,,
1,67430,,,0.837275,,,,
2,85878,,,0.765028,,,,
3,104323,,,0.688071,,,,
4,122772,,,0.622855,,,,
5,141219,,,0.565087,,,,
6,159666,,,0.51756,,,,
7,178112,,,0.473144,,,,
8,196561,,,0.44013,,,,
9,215008,,,0.408142,,,,
0,92482,,,,0.825771,,,
1,112278,,,,0.765276,,,
2,132077,,,,0.686798,,,
3,151874,,,,0.61019,,,
4,171671,,,,0.545211,,,
5,191468,,,,0.491871,,,
6,211264,,,,0.445978,,,
7,231062,,,,0.405528,,,
8,250858,,,,0.373483,,,
9,270656,,,,0.343816,,,
0,171426,,,,,0.730595,,
1,192972,,,,,0.659609,,
2,214518,,,,,0.57872,,
3,236064,,,,,0.503701,,
4,257610,,,,,0.446575,,
5,279156,,,,,0.396288,,
6,300702,,,,,0.355872,,
7,322248,,,,,0.319253,,
8,343794,,,,,0.294543,,
9,365340,,,,,0.269383,,
0,220474,,,,,,0.661345,
0,870836,,,,,,,0.0
