,Memory usage,Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,50240,0.800316,,,,,,
1,100407,0.348347,,,,,,
2,150569,0.150543,,,,,,
3,200736,0.0735615,,,,,,
4,250900,0.0400108,,,,,,
5,301065,0.0228805,,,,,,
6,351233,0.0115502,,,,,,
7,401397,0.00565011,,,,,,
8,451560,0.00267005,,,,,,
9,501728,0.00158003,,,,,,
0,311256,,0.00740015,,,,,
1,328948,,0.00663013,,,,,
2,346641,,0.00550011,,,,,
3,364334,,0.00425009,,,,,
4,382027,,0.00351007,,,,,
5,399720,,0.00280006,,,,,
6,417411,,0.00213004,,,,,
7,435106,,0.00181004,,,,,
8,452800,,0.00123002,,,,,
9,470492,,0.00137003,,,,,
0,444264,,,0.000260005,,,,
1,463042,,,0.000220004,,,,
2,481820,,,0.000160003,,,,
3,500598,,,0.000110002,,,,
4,519375,,,0.000130003,,,,
5,538154,,,0.000100002,,,,
6,556930,,,7.00014e-05,,,,
7,575710,,,4.00008e-05,,,,
8,594488,,,2.00004e-05,,,,
9,613265,,,2.00004e-05,,,,
0,577425,,,,1.00002e-05,,,
1,597578,,,,1.00002e-05,,,
2,617732,,,,1.00002e-05,,,
3,637884,,,,1.00002e-05,,,
4,658038,,,,1.00002e-05,,,
5,678191,,,,0.0,,,
6,698346,,,,0.0,,,
7,718499,,,,0.0,,,
8,738652,,,,0.0,,,
9,758806,,,,0.0,,,
0,710480,,,,,0.0,,
1,732381,,,,,0.0,,
2,754282,,,,,0.0,,
3,776184,,,,,0.0,,
4,798084,,,,,0.0,,
5,819987,,,,,0.0,,
6,841889,,,,,0.0,,
7,863790,,,,,0.0,,
8,885691,,,,,0.0,,
9,907596,,,,,0.0,,
0,164174,,,,,,0.196484,
0,1412286,,,,,,,0.0
