,Memory usage,Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,50240,0.953446,,,,,,
1,100407,0.785425,,,,,,
2,150569,0.639897,,,,,,
3,200736,0.537929,,,,,,
4,250900,0.460303,,,,,,
5,301065,0.39969,,,,,,
6,351233,0.343787,,,,,,
7,401397,0.287916,,,,,,
8,451560,0.247611,,,,,,
9,501728,0.211289,,,,,,
0,311256,,0.948329,,,,,
1,328948,,0.876964,,,,,
2,346641,,0.799203,,,,,
3,364334,,0.720237,,,,,
4,382027,,0.652604,,,,,
5,399720,,0.591866,,,,,
6,417411,,0.540248,,,,,
7,435106,,0.496979,,,,,
8,452800,,0.457288,,,,,
9,470492,,0.420945,,,,,
0,444264,,,0.938815,,,,
1,463042,,,0.852028,,,,
2,481820,,,0.759959,,,,
3,500598,,,0.677103,,,,
4,519375,,,0.603325,,,,
5,538154,,,0.541724,,,,
6,556930,,,0.4957,,,,
7,575710,,,0.447368,,,,
8,594488,,,0.410068,,,,
9,613265,,,0.374463,,,,
0,577425,,,,0.920752,,,
1,597578,,,,0.813616,,,
2,617732,,,,0.710316,,,
3,637884,,,,0.618487,,,
4,658038,,,,0.544262,,,
5,678191,,,,0.484678,,,
6,698346,,,,0.434089,,,
7,718499,,,,0.390945,,,
8,738652,,,,0.353957,,,
9,758806,,,,0.319715,,,
0,710480,,,,,0.892427,,
1,732381,,,,,0.758732,,
2,754282,,,,,0.643942,,
3,776184,,,,,0.548629,,
4,798084,,,,,0.478636,,
5,819987,,,,,0.417129,,
6,841889,,,,,0.37021,,
7,863790,,,,,0.32847,,
8,885691,,,,,0.292897,,
9,907596,,,,,0.265174,,
0,164174,,,,,,0.999886,
0,1412286,,,,,,,0.0
