,Memory usage,Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,51042,0.823647,,,,,,
1,101992,0.580504,,,,,,
2,152947,0.439222,,,,,,
3,203894,0.338536,,,,,,
4,254850,0.250549,,,,,,
5,305800,0.193589,,,,,,
6,356753,0.14562,,,,,,
7,407701,0.11017,,,,,,
8,458657,0.0852038,,,,,,
9,509608,0.0651633,,,,,,
0,71635,,0.93533,,,,,
1,94816,,0.848551,,,,,
2,117998,,0.756404,,,,,
3,141180,,0.676253,,,,,
4,164362,,0.606058,,,,,
5,187542,,0.540874,,,,,
6,210725,,0.48904,,,,,
7,233905,,0.44774,,,,,
8,257088,,0.414171,,,,,
9,280269,,0.376453,,,,,
0,115539,,,0.923293,,,,
1,140461,,,0.824057,,,,
2,165383,,,0.720724,,,,
3,190302,,,0.631844,,,,
4,215224,,,0.555705,,,,
5,240143,,,0.498493,,,,
6,265065,,,0.448801,,,,
7,289987,,,0.403027,,,,
8,314910,,,0.365561,,,,
9,339828,,,0.333274,,,,
0,176049,,,,0.907265,,,
1,203178,,,,0.785457,,,
2,230308,,,,0.672114,,,
3,257437,,,,0.581417,,,
4,284571,,,,0.504805,,,
5,311695,,,,0.446207,,,
6,338825,,,,0.39557,,,
7,365954,,,,0.351959,,,
8,393084,,,,0.320239,,,
9,420212,,,,0.290955,,,
0,252620,,,,,0.881647,,
1,282612,,,,,0.741542,,
2,312603,,,,,0.617297,,
3,342595,,,,,0.521674,,
4,372587,,,,,0.446616,,
5,402579,,,,,0.387629,,
6,432571,,,,,0.340059,,
7,462562,,,,,0.30399,,
8,492555,,,,,0.266451,,
9,522545,,,,,0.239972,,
0,210966,,,,,,0.918031,
0,903412,,,,,,,0.0
