,Memory usage,Rosetta,LilRosetta,Splash,SuRF Real,FST
0,3750272,0.200432,,,,
1,5000262,0.115963,,,,
2,6250256,0.0665173,,,,
3,7500264,0.0389043,,,,
4,8750260,0.0218424,,,,
5,10000264,0.0122013,,,,
6,11250271,0.00770085,,,,
7,12500260,0.00431047,,,,
0,625194,,0.963876,,,
1,1875197,,0.278151,,,
2,3125195,,0.120223,,,
3,4375198,,0.0500155,,,
4,5625199,,0.0208223,,,
0,556713,,,0.0,,
1,556460,,,0.0,,
2,539966,,,0.0,,
3,524458,,,0.0,,
4,442984,,,0.0,,
5,397328,,,0.0,,
6,370008,,,0.0,,
7,328406,,,0.0,,
8,263302,,,0.0,,
9,217656,,,0.0,,
10,193614,,,3.00033e-05,,
11,185337,,,7.00077e-05,,
12,177760,,,0.000190021,,
13,175748,,,0.000480053,,
14,175216,,,0.00102011,,
15,175004,,,0.00301033,,
16,174788,,,0.00798088,,
17,174444,,,0.0155517,,
18,174300,,,0.0892098,,
19,174300,,,0.0892098,,
0,452690,,,,0.0428247,
0,556713,,,,,0.0
