,Memory usage,Rosetta,LilRosetta,Splash,SuRF Real,FST
0,3750312,0.383016,,,,
1,5000303,0.266471,,,,
2,6250309,0.190895,,,,
3,7500308,0.136398,,,,
4,8750310,0.101306,,,,
5,10000312,0.0705736,,,,
6,11250319,0.0489305,,,,
7,12500298,0.036221,,,,
0,625229,,0.996866,,,
1,1875232,,0.457327,,,
2,3125235,,0.267502,,,
3,4375221,,0.162518,,,
4,5625226,,0.0943187,,,
0,901031,,,0.0,,
1,900126,,,0.00149867,,
2,781563,,,0.201055,,
3,694947,,,0.327624,,
4,607749,,,0.453415,,
5,535622,,,0.550809,,
6,480416,,,0.617859,,
7,428186,,,0.676852,,
8,378123,,,0.728819,,
9,327098,,,0.776621,,
10,284869,,,0.811635,,
11,228842,,,0.823079,,
12,208160,,,0.836237,,
13,198122,,,0.842114,,
14,193316,,,0.844723,,
15,190592,,,0.845774,,
16,190172,,,0.84589,,
17,190152,,,0.84589,,
18,190152,,,0.84589,,
19,190152,,,0.84589,,
0,211856,,,,0.815878,
0,904952,,,,,0.00924502
