,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,1.0,,,,
1,75034,0.998912,,,,
2,137534,0.994404,,,,
3,200034,0.985011,,,,
4,262534,0.971465,,,,
5,325034,0.953806,,,,
6,387534,0.936424,,,,
7,450034,0.920801,,,,
0,240019,,0.975182,,,
1,240019,,0.975182,,,
2,240019,,0.975182,,,
3,240019,,0.975182,,,
4,220815,,0.975182,,,
5,220815,,0.975182,,,
6,220815,,0.975182,,,
7,220815,,0.975182,,,
8,220815,,0.975182,,,
9,220815,,0.975182,,,
10,220815,,0.975182,,,
11,220815,,0.975182,,,
12,220815,,0.975182,,,
13,220815,,0.975182,,,
14,220815,,0.975182,,,
0,290027,,,0.947933,,
1,290027,,,0.947933,,
2,290027,,,0.947933,,
3,290027,,,0.947933,,
4,290027,,,0.947933,,
5,290027,,,0.947933,,
6,270823,,,0.947933,,
7,270823,,,0.947933,,
8,270823,,,0.947933,,
9,270823,,,0.947933,,
10,270823,,,0.947933,,
11,270823,,,0.947933,,
12,270823,,,0.947933,,
13,270823,,,0.947933,,
14,270823,,,0.947933,,
0,340027,,,,0.92092,
1,340027,,,,0.92092,
2,340027,,,,0.92092,
3,340027,,,,0.92092,
4,340027,,,,0.92092,
5,340027,,,,0.92092,
6,340027,,,,0.92092,
7,320823,,,,0.92092,
8,320823,,,,0.92092,
9,320823,,,,0.92092,
10,320823,,,,0.92092,
11,320823,,,,0.92092,
12,320823,,,,0.92092,
13,320823,,,,0.92092,
14,320823,,,,0.92092,
0,871254,,,,,0.00885918
