,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,1.0,,,,
1,75034,0.997704,,,,
2,137534,0.98986,,,,
3,200034,0.974507,,,,
4,262534,0.955579,,,,
5,325034,0.937296,,,,
6,387534,0.923067,,,,
7,450034,0.912676,,,,
0,553043,,0.134053,,,
1,472297,,0.134077,,,
2,472297,,0.134077,,,
3,472297,,0.134077,,,
4,472297,,0.134077,,,
5,472297,,0.134077,,,
6,472297,,0.134077,,,
7,472297,,0.134077,,,
8,472297,,0.134077,,,
9,472297,,0.134077,,,
10,452478,,0.134077,,,
11,452478,,0.134077,,,
12,452478,,0.134077,,,
13,452478,,0.134077,,,
14,452478,,0.134077,,,
0,603051,,,0.13257,,
1,522305,,,0.132594,,
2,522305,,,0.132594,,
3,522305,,,0.132594,,
4,522305,,,0.132594,,
5,522305,,,0.132594,,
6,522305,,,0.132594,,
7,522305,,,0.132594,,
8,522305,,,0.132594,,
9,522305,,,0.132594,,
10,522305,,,0.132594,,
11,502486,,,0.132594,,
12,502486,,,0.132594,,
13,502486,,,0.132594,,
14,502486,,,0.132594,,
0,653051,,,,0.130765,
1,572305,,,,0.130789,
2,572305,,,,0.130789,
3,572305,,,,0.130789,
4,572305,,,,0.130789,
5,572305,,,,0.130789,
6,572305,,,,0.130789,
7,572305,,,,0.130789,
8,572305,,,,0.130789,
9,572305,,,,0.130789,
10,572305,,,,0.130789,
11,572305,,,,0.130789,
12,572305,,,,0.130789,
13,552478,,,,0.130789,
14,552478,,,,0.130789,
0,554797,,,,,0.000490249
