,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,0.999849,,,,
1,75034,0.996382,,,,
2,137534,0.983547,,,,
3,200034,0.96326,,,,
4,262534,0.93899,,,,
5,325034,0.916765,,,,
6,387534,0.899451,,,,
7,450034,0.88892,,,,
0,553043,,0.111834,,,
1,472297,,0.111834,,,
2,472297,,0.111834,,,
3,472297,,0.111834,,,
4,472297,,0.111834,,,
5,472297,,0.111834,,,
6,472297,,0.111834,,,
7,472297,,0.111834,,,
8,472297,,0.111834,,,
9,472297,,0.111834,,,
10,452478,,0.111834,,,
11,452478,,0.111834,,,
12,452478,,0.111834,,,
13,452478,,0.111834,,,
14,452478,,0.111834,,,
0,603051,,,0.104533,,
1,522305,,,0.104533,,
2,522305,,,0.104533,,
3,522305,,,0.104533,,
4,522305,,,0.104533,,
5,522305,,,0.104533,,
6,522305,,,0.104533,,
7,522305,,,0.104533,,
8,522305,,,0.104533,,
9,522305,,,0.104533,,
10,522305,,,0.104533,,
11,502486,,,0.104533,,
12,502486,,,0.104533,,
13,502486,,,0.104533,,
14,502486,,,0.104533,,
0,653051,,,,0.0982664,
1,572305,,,,0.0982664,
2,572305,,,,0.0982664,
3,572305,,,,0.0982664,
4,572305,,,,0.0982664,
5,572305,,,,0.0982664,
6,572305,,,,0.0982664,
7,572305,,,,0.0982664,
8,572305,,,,0.0982664,
9,572305,,,,0.0982664,
10,572305,,,,0.0982664,
11,572305,,,,0.0982664,
12,572305,,,,0.0982664,
13,552478,,,,0.0982664,
14,552478,,,,0.0982664,
0,554797,,,,,0.000150748
