,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,1.0,,,,
1,75034,0.999942,,,,
2,137534,0.998778,,,,
3,200034,0.995518,,,,
4,262534,0.992374,,,,
5,325034,0.985564,,,,
6,387534,0.978831,,,,
7,450034,0.968081,,,,
0,188039,,0.999942,,,
1,188039,,0.999942,,,
2,188039,,0.999942,,,
3,188039,,0.999942,,,
4,188039,,0.999942,,,
5,188039,,0.999942,,,
6,188039,,0.999942,,,
7,188039,,0.999942,,,
8,188039,,0.999942,,,
9,188039,,0.999942,,,
10,164053,,0.999942,,,
11,164053,,0.999942,,,
12,164053,,0.999942,,,
13,164053,,0.999942,,,
14,164053,,0.999942,,,
0,238047,,,0.999748,,
1,238047,,,0.999748,,
2,238047,,,0.999748,,
3,238047,,,0.999748,,
4,238047,,,0.999748,,
5,238047,,,0.999748,,
6,238047,,,0.999748,,
7,238047,,,0.999748,,
8,238047,,,0.999748,,
9,238047,,,0.999748,,
10,238047,,,0.999748,,
11,238047,,,0.999748,,
12,238047,,,0.999748,,
13,238047,,,0.999748,,
14,214053,,,0.999748,,
0,288047,,,,0.99936,
1,288047,,,,0.99936,
2,288047,,,,0.99936,
3,288047,,,,0.99936,
4,288047,,,,0.99936,
5,288047,,,,0.99936,
6,288047,,,,0.99936,
7,288047,,,,0.99936,
8,288047,,,,0.99936,
9,288047,,,,0.99936,
10,288047,,,,0.99936,
11,288047,,,,0.99936,
12,288047,,,,0.99936,
13,288047,,,,0.99936,
14,288047,,,,0.99936,
0,1414394,,,,,1.94035e-05
