,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,0.978084,,,,
1,75034,0.751939,,,,
2,137534,0.7339,,,,
3,200034,0.713355,,,,
4,262534,0.683877,,,,
5,325034,0.650992,,,,
6,387534,0.624384,,,,
7,450034,0.602297,,,,
0,553043,,0.435923,,,
1,472297,,0.435944,,,
2,472297,,0.435944,,,
3,472297,,0.435944,,,
4,472297,,0.435944,,,
5,472297,,0.435944,,,
6,472297,,0.435944,,,
7,472297,,0.435944,,,
8,472297,,0.435944,,,
9,472297,,0.435944,,,
10,452478,,0.435944,,,
11,452478,,0.435944,,,
12,452478,,0.435944,,,
13,452478,,0.435944,,,
14,452478,,0.435944,,,
0,603051,,,0.422447,,
1,522305,,,0.422469,,
2,522305,,,0.422469,,
3,522305,,,0.422469,,
4,522305,,,0.422469,,
5,522305,,,0.422469,,
6,522305,,,0.422469,,
7,522305,,,0.422469,,
8,522305,,,0.422469,,
9,522305,,,0.422469,,
10,522305,,,0.422469,,
11,502486,,,0.422469,,
12,502486,,,0.422469,,
13,502486,,,0.422469,,
14,502486,,,0.422469,,
0,653051,,,,0.398732,
1,572305,,,,0.398753,
2,572305,,,,0.398753,
3,572305,,,,0.398753,
4,572305,,,,0.398753,
5,572305,,,,0.398753,
6,572305,,,,0.398753,
7,572305,,,,0.398753,
8,572305,,,,0.398753,
9,572305,,,,0.398753,
10,572305,,,,0.398753,
11,572305,,,,0.398753,
12,572305,,,,0.398753,
13,552478,,,,0.398753,
14,552478,,,,0.398753,
0,554797,,,,,0.000385621
