,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,0.999947,,,,
1,75034,0.99896,,,,
2,137534,0.993198,,,,
3,200034,0.983675,,,,
4,262534,0.968684,,,,
5,325034,0.950972,,,,
6,387534,0.932834,,,,
7,450034,0.915949,,,,
0,240019,,0.817867,,,
1,240019,,0.817867,,,
2,240019,,0.817867,,,
3,240019,,0.817867,,,
4,220815,,0.817867,,,
5,220815,,0.817867,,,
6,220815,,0.817867,,,
7,220815,,0.817867,,,
8,220815,,0.817867,,,
9,220815,,0.817867,,,
10,220815,,0.817867,,,
11,220815,,0.817867,,,
12,220815,,0.817867,,,
13,220815,,0.817867,,,
14,220815,,0.817867,,,
0,290027,,,0.744165,,
1,290027,,,0.744165,,
2,290027,,,0.744165,,
3,290027,,,0.744165,,
4,290027,,,0.744165,,
5,290027,,,0.744165,,
6,270823,,,0.744165,,
7,270823,,,0.744165,,
8,270823,,,0.744165,,
9,270823,,,0.744165,,
10,270823,,,0.744165,,
11,270823,,,0.744165,,
12,270823,,,0.744165,,
13,270823,,,0.744165,,
14,270823,,,0.744165,,
0,340027,,,,0.674518,
1,340027,,,,0.674518,
2,340027,,,,0.674518,
3,340027,,,,0.674518,
4,340027,,,,0.674518,
5,340027,,,,0.674518,
6,340027,,,,0.674518,
7,320823,,,,0.674518,
8,320823,,,,0.674518,
9,320823,,,,0.674518,
10,320823,,,,0.674518,
11,320823,,,,0.674518,
12,320823,,,,0.674518,
13,320823,,,,0.674518,
14,320823,,,,0.674518,
0,871254,,,,,0.00704207
