,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,0.999949,,,,
1,75034,0.680935,,,,
2,137534,0.402227,,,,
3,200034,0.278293,,,,
4,262534,0.214173,,,,
5,325034,0.164735,,,,
6,387534,0.132154,,,,
7,450034,0.112547,,,,
0,188039,,0.193504,,,
1,188039,,0.193504,,,
2,188039,,0.193504,,,
3,188039,,0.193504,,,
4,188039,,0.193504,,,
5,188039,,0.193504,,,
6,188039,,0.193504,,,
7,188039,,0.193504,,,
8,188039,,0.193504,,,
9,188039,,0.193504,,,
10,164053,,0.193504,,,
11,164053,,0.193504,,,
12,164053,,0.193504,,,
13,164053,,0.193504,,,
14,164053,,0.193504,,,
0,238047,,,0.0998261,,
1,238047,,,0.0998261,,
2,238047,,,0.0998261,,
3,238047,,,0.0998261,,
4,238047,,,0.0998261,,
5,238047,,,0.0998261,,
6,238047,,,0.0998261,,
7,238047,,,0.0998261,,
8,238047,,,0.0998261,,
9,238047,,,0.0998261,,
10,238047,,,0.0998261,,
11,238047,,,0.0998261,,
12,238047,,,0.0998261,,
13,238047,,,0.0998261,,
14,214053,,,0.0998261,,
0,288047,,,,0.00723011,
1,288047,,,,0.00723011,
2,288047,,,,0.00723011,
3,288047,,,,0.00723011,
4,288047,,,,0.00723011,
5,288047,,,,0.00723011,
6,288047,,,,0.00723011,
7,288047,,,,0.00723011,
8,288047,,,,0.00723011,
9,288047,,,,0.00723011,
10,288047,,,,0.00723011,
11,288047,,,,0.00723011,
12,288047,,,,0.00723011,
13,288047,,,,0.00723011,
14,288047,,,,0.00723011,
0,1414394,,,,,2.02241e-05
