,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,0.995542,,,,
1,75034,0.314469,,,,
2,137534,0.127414,,,,
3,200034,0.0669432,,,,
4,262534,0.0397431,,,,
5,325034,0.0279815,,,,
6,387534,0.0214094,,,,
7,450034,0.0167007,,,,
0,249356,,0.15761,,,
1,249356,,0.15761,,,
2,249356,,0.15761,,,
3,249356,,0.15761,,,
4,249356,,0.15761,,,
5,249356,,0.15761,,,
6,249356,,0.15761,,,
7,249356,,0.15761,,,
8,249356,,0.15761,,,
9,249356,,0.15761,,,
10,249356,,0.15761,,,
11,249356,,0.15761,,,
12,249356,,0.15761,,,
13,211693,,0.15765,,,
14,211693,,0.15765,,,
0,299364,,,0.080438,,
1,299364,,,0.080438,,
2,299364,,,0.080438,,
3,299364,,,0.080438,,
4,299364,,,0.080438,,
5,299364,,,0.080438,,
6,299364,,,0.080438,,
7,299364,,,0.080438,,
8,299364,,,0.080438,,
9,299364,,,0.080438,,
10,299364,,,0.080438,,
11,299364,,,0.080438,,
12,299364,,,0.080438,,
13,299364,,,0.080438,,
14,299364,,,0.080438,,
0,349364,,,,0.00644185,
1,349364,,,,0.00644185,
2,349364,,,,0.00644185,
3,349364,,,,0.00644185,
4,349364,,,,0.00644185,
5,349364,,,,0.00644185,
6,349364,,,,0.00644185,
7,349364,,,,0.00644185,
8,349364,,,,0.00644185,
9,349364,,,,0.00644185,
10,349364,,,,0.00644185,
11,349364,,,,0.00644185,
12,349364,,,,0.00644185,
13,349364,,,,0.00644185,
14,349364,,,,0.00644185,
0,905455,,,,,0.0
