,Memory usage,Prefix-BF,Prefix-QF
0,92124,0.421626,
1,184155,0.174585,
2,276188,0.0720791,
3,368219,0.0294402,
4,460254,0.0126742,
5,552287,0.00558167,
6,644317,0.00247608,
7,736350,0.000986235,
8,828382,0.000293772,
9,920416,0.000125902,
10,1012449,0.0,
11,1104480,4.19674e-05,
12,1196517,0.0,
13,1288549,0.0,
14,1380582,0.0,
15,1472615,0.0,
16,1564645,0.0,
17,1656679,0.0,
18,1748712,0.0,
19,1840745,0.0,
20,1932778,0.0,
21,2024813,0.0,
22,2116844,0.0,
23,2208877,0.0,
24,2300909,0.0,
25,262144,,0.279503
26,327680,,0.152006
27,393216,,0.0783952
28,458752,,0.0404146
29,524288,,0.0209627
30,589824,,0.0109115
31,655360,,0.00562364
32,720896,,0.00287477
33,786432,,0.00132197
34,851968,,0.000608528
35,917504,,0.000230821
36,983040,,0.000188853
