,Memory usage,Prefix-BF,Prefix-QF
0,80155,0.474791,
1,160237,0.227938,
2,240321,0.112418,
3,320403,0.0538826,
4,400486,0.0269715,
5,480567,0.0133347,
6,560648,0.00682848,
7,640731,0.0036056,
8,720814,0.00175244,
9,800897,0.00104744,
10,880977,0.000503575,
11,961063,0.00020143,
12,1041146,8.05721e-05,
13,1121225,2.0143e-05,
14,1201307,4.0286e-05,
15,1281389,0.0,
16,1361474,2.0143e-05,
17,1441555,0.0,
18,1521638,2.0143e-05,
19,1601718,0.0,
20,1681802,0.0,
21,1761886,0.0,
22,1841969,0.0,
23,1922051,0.0,
24,2002132,0.0,
25,262144,,0.276443
26,327680,,0.150045
27,393216,,0.0772283
28,458752,,0.0388962
29,524288,,0.0194783
30,589824,,0.00960822
31,655360,,0.00521704
32,720896,,0.00245745
33,786432,,0.00147044
34,851968,,0.000745292
35,917504,,0.000362574
36,983040,,0.000221573
