,Memory usage,Prefix-BF,Prefix-QF
0,91023,0.551322,
1,181967,0.305383,
2,272913,0.168024,
3,363858,0.0939871,
4,454802,0.053465,
5,545750,0.0310504,
6,636697,0.0183003,
7,727639,0.0100073,
8,818586,0.00587151,
9,909530,0.00377148,
10,1000476,0.00235718,
11,1091421,0.00115716,
12,1182368,0.000707153,
13,1273314,0.000342862,
14,1364258,0.000235718,
15,1455203,0.000214289,
16,1546150,0.000107144,
17,1637095,0.000107144,
18,1728040,0.0,
19,1818986,4.28578e-05,
20,1909932,0.0,
21,2000877,0.0,
22,2091821,2.14289e-05,
23,2182767,0.0,
24,2273712,2.14289e-05,
25,524288,,0.228046
26,655360,,0.121716
27,786432,,0.0630438
28,917504,,0.0319933
29,1048576,,0.0157074
30,1179648,,0.00812154
31,1310720,,0.0041572
32,1441792,,0.0022286
33,1572864,,0.00105002
34,1703936,,0.00057858
35,1835008,,0.000342862
36,1966080,,0.000150002
