,Memory usage,Prefix-BF,Prefix-QF
0,80155,0.47229,
1,160237,0.228151,
2,240321,0.10961,
3,320403,0.0527543,
4,400486,0.0264812,
5,480567,0.0137819,
6,560648,0.00645376,
7,640731,0.00310197,
8,720814,0.00151976,
9,800897,0.00102011,
10,880977,0.000562102,
11,961063,0.000249823,
12,1041146,0.00014573,
13,1121225,6.24558e-05,
14,1201307,2.08186e-05,
15,1281389,0.0,
16,1361474,0.0,
17,1441555,0.0,
18,1521638,0.0,
19,1601718,0.0,
20,1681802,0.0,
21,1761886,0.0,
22,1841969,0.0,
23,1922051,0.0,
24,2002132,0.0,
25,262144,,0.276887
26,327680,,0.151226
27,393216,,0.0789233
28,458752,,0.0393055
29,524288,,0.0199858
30,589824,,0.00972228
31,655360,,0.00489237
32,720896,,0.00214431
33,786432,,0.000957655
34,851968,,0.000499646
35,917504,,0.000229004
36,983040,,0.000208186
