,Memory usage,Prefix-BF,Prefix-QF
0,79601,0.33167,
1,159125,0.108485,
2,238649,0.0372882,
3,318175,0.0124974,
4,397699,0.00476309,
5,477224,0.00183719,
6,556749,0.000544353,
7,636274,0.000136088,
8,715800,9.07256e-05,
9,795323,0.0,
10,874845,0.0,
11,954373,0.0,
12,1033898,2.26814e-05,
13,1113424,0.0,
14,1192948,0.0,
15,1272473,0.0,
16,1351998,0.0,
17,1431525,0.0,
18,1511050,0.0,
19,1590571,0.0,
20,1670098,0.0,
21,1749622,0.0,
22,1829147,0.0,
23,1908672,0.0,
24,1988198,0.0,
25,262144,,0.191454
26,327680,,0.100479
27,393216,,0.0510105
28,458752,,0.0256527
29,524288,,0.0126109
30,589824,,0.00637347
31,655360,,0.00322076
32,720896,,0.00165574
33,786432,,0.000839212
34,851968,,0.000430946
35,917504,,0.000204133
36,983040,,0.000113407
