,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,164011,0.999942,,,,,
1,164011,0.999942,,,,,
2,164093,0.999398,,,,,
3,164523,0.997827,,,,,
4,166407,0.993131,,,,,
5,173143,0.980228,,,,,
6,190423,0.954227,,,,,
7,257968,0.899567,,,,,
8,343930,0.806624,,,,,
9,492652,0.665405,,,,,
10,707792,0.483012,,,,,
11,954156,0.298058,,,,,
12,1173117,0.146982,,,,,
13,1321260,0.0538254,,,,,
14,1390004,0.0133496,,,,,
0,164080,,0.999942,,,,
1,164080,,0.999942,,,,
2,164158,,0.999398,,,,
3,164600,,0.997807,,,,
4,166502,,0.993054,,,,
5,173270,,0.980092,,,,
6,190553,,0.954072,,,,
7,258098,,0.899412,,,,
8,344069,,0.806489,,,,
9,492807,,0.66527,,,,
10,707962,,0.482838,,,,
11,954353,,0.297786,,,,
12,1173307,,0.14673,,,,
13,1321358,,0.0537478,,,,
14,1390044,,0.0133108,,,,
0,164092,,,0.999942,,,
1,164092,,,0.999942,,,
2,164172,,,0.99936,,,
3,164632,,,0.997749,,,
4,166518,,,0.992995,,,
5,173290,,,0.980014,,,
6,190589,,,0.953994,,,
7,258133,,,0.899354,,,
8,344088,,,0.80643,,,
9,492816,,,0.665231,,,
10,708004,,,0.482779,,,
11,954385,,,0.297708,,,
12,1173342,,,0.146691,,,
13,1321358,,,0.0537478,,,
14,1390044,,,0.0133108,,,
0,164095,,,,0.999942,,
1,164095,,,,0.999942,,
2,164175,,,,0.99936,,
3,164635,,,,0.997749,,
4,166521,,,,0.992995,,
5,173293,,,,0.980014,,
6,190592,,,,0.953994,,
7,258136,,,,0.899354,,
8,344091,,,,0.80643,,
9,492827,,,,0.665211,,
10,708015,,,,0.48276,,
11,954385,,,,0.297708,,
12,1173342,,,,0.146691,,
13,1321358,,,,0.0537478,,
14,1390044,,,,0.0133108,,
0,164053,,,,,0.999942,
0,1414394,,,,,,1.94035e-05
