,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,147158,0.634075,,,,,
1,147158,0.634075,,,,,
2,183507,0.236491,,,,,
3,206679,0.0581187,,,,,
4,215251,0.0107665,,,,,
5,217165,0.00243005,,,,,
6,217697,0.000202504,,,,,
7,217772,0.0,,,,,
8,217801,0.0,,,,,
9,217875,0.0,,,,,
10,217875,0.0,,,,,
11,217875,0.0,,,,,
12,217875,0.0,,,,,
13,217875,0.0,,,,,
14,217875,0.0,,,,,
0,148429,,0.628843,,,,
1,148429,,0.628843,,,,
2,185213,,0.226366,,,,
3,208397,,0.0478923,,,,
4,215472,,0.0100577,,,,
5,217375,,0.00172129,,,,
6,217771,,0.000202504,,,,
7,217846,,0.0,,,,
8,217875,,0.0,,,,
9,217875,,0.0,,,,
10,217875,,0.0,,,,
11,217875,,0.0,,,,
12,217875,,0.0,,,,
13,217875,,0.0,,,,
14,217875,,0.0,,,,
0,148747,,,0.627527,,,
1,148747,,,0.627527,,,
2,185549,,,0.224746,,,
3,208857,,,0.045496,,,
4,215960,,,0.00749266,,,
5,217492,,,0.00118128,,,
6,217786,,,0.000202504,,,
7,217854,,,0.0,,,
8,217875,,,0.0,,,
9,217875,,,0.0,,,
10,217875,,,0.0,,,
11,217875,,,0.0,,,
12,217875,,,0.0,,,
13,217875,,,0.0,,,
14,217875,,,0.0,,,
0,148747,,,,0.627527,,
1,148747,,,,0.627527,,
2,185549,,,,0.224746,,
3,208857,,,,0.045496,,
4,215960,,,,0.00749266,,
5,217492,,,,0.00118128,,
6,217786,,,,0.000202504,,
7,217854,,,,0.0,,
8,217875,,,,0.0,,
9,217875,,,,0.0,,
10,217875,,,,0.0,,
11,217875,,,,0.0,,
12,217875,,,,0.0,,
13,217875,,,,0.0,,
14,217875,,,,0.0,,
0,196547,,,,,0.747038,
0,246245,,,,,,0.337305
