,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,185811,0.160455,,,,,
1,185811,0.160455,,,,,
2,193866,0.160455,,,,,
3,213780,0.160405,,,,,
4,288179,0.160215,,,,,
5,341076,0.159594,,,,,
6,413815,0.158371,,,,,
7,499962,0.155176,,,,,
8,594636,0.149295,,,,,
9,686742,0.135059,,,,,
10,765544,0.115803,,,,,
11,826073,0.094003,,,,,
12,865220,0.061944,,,,,
13,887096,0.0284423,,,,,
14,897472,0.00926705,,,,,
0,194836,,0.158201,,,,
1,194836,,0.158201,,,,
2,204056,,0.158201,,,,
3,226002,,0.158151,,,,
4,301079,,0.157961,,,,
5,355715,,0.15734,,,,
6,427964,,0.156117,,,,
7,512632,,0.152921,,,,
8,602912,,0.147061,,,,
9,693307,,0.132834,,,,
10,770755,,0.113589,,,,
11,829126,,0.0919392,,,,
12,866972,,0.0601607,,,,
13,887740,,0.0268193,,,,
14,897770,,0.00910676,,,,
0,201476,,,0.15775,,,
1,201476,,,0.15775,,,
2,211275,,,0.15775,,,
3,271764,,,0.1577,,,
4,310014,,,0.15751,,,
5,363546,,,0.156889,,,
6,434361,,,0.155666,,,
7,517921,,,0.152471,,,
8,606988,,,0.14661,,,
9,695309,,,0.132454,,,
10,772045,,,0.113208,,,
11,829894,,,0.0915585,,,
12,867481,,,0.05978,,,
13,887861,,,0.0265889,,,
14,897857,,,0.00897652,,,
0,202033,,,,0.15774,,
1,202033,,,,0.15774,,
2,211839,,,,0.15774,,
3,272348,,,,0.15769,,
4,310631,,,,0.1575,,
5,364219,,,,0.156879,,
6,435154,,,,0.155656,,
7,518748,,,,0.152461,,
8,607908,,,,0.1466,,
9,696277,,,,0.132444,,
10,772464,,,,0.113198,,
11,830113,,,,0.0915484,,
12,867556,,,,0.05978,,
13,887906,,,,0.0265889,,
14,897888,,,,0.00897652,,
0,211693,,,,,0.15765,
0,905455,,,,,,0.0
