,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,164011,0.193504,,,,,
1,164011,0.193504,,,,,
2,164093,0.193474,,,,,
3,164523,0.193241,,,,,
4,166407,0.192564,,,,,
5,173143,0.190915,,,,,
6,190423,0.187194,,,,,
7,257968,0.179074,,,,,
8,343930,0.163047,,,,,
9,492652,0.138505,,,,,
10,707792,0.103932,,,,,
11,954156,0.0666586,,,,,
12,1173117,0.0349978,,,,,
13,1321260,0.0138737,,,,,
14,1390004,0.00395381,,,,,
0,164080,,0.193494,,,,
1,164080,,0.193494,,,,
2,164158,,0.193464,,,,
3,164600,,0.193231,,,,
4,166502,,0.192553,,,,
5,173270,,0.190905,,,,
6,190553,,0.187184,,,,
7,258098,,0.179064,,,,
8,344069,,0.163036,,,,
9,492807,,0.138495,,,,
10,707962,,0.103932,,,,
11,954353,,0.0666586,,,,
12,1173307,,0.0349978,,,,
13,1321358,,0.0138737,,,,
14,1390044,,0.00395381,,,,
0,164092,,,0.193494,,,
1,164092,,,0.193494,,,
2,164172,,,0.193464,,,
3,164632,,,0.193231,,,
4,166518,,,0.192553,,,
5,173290,,,0.190905,,,
6,190589,,,0.187184,,,
7,258133,,,0.179064,,,
8,344088,,,0.163036,,,
9,492816,,,0.138495,,,
10,708004,,,0.103932,,,
11,954385,,,0.0666586,,,
12,1173342,,,0.0349978,,,
13,1321358,,,0.0138737,,,
14,1390044,,,0.00395381,,,
0,164095,,,,0.193494,,
1,164095,,,,0.193494,,
2,164175,,,,0.193464,,
3,164635,,,,0.193231,,
4,166521,,,,0.192553,,
5,173293,,,,0.190905,,
6,190592,,,,0.187184,,
7,258136,,,,0.179064,,
8,344091,,,,0.163036,,
9,492827,,,,0.138495,,
10,708015,,,,0.103932,,
11,954385,,,,0.0666586,,
12,1173342,,,,0.0349978,,
13,1321358,,,,0.0138737,,
14,1390044,,,,0.00395381,,
0,164053,,,,,0.193504,
0,1414394,,,,,,2.02241e-05
