,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,206231,0.839019,,,,,
1,206231,0.839019,,,,,
2,212178,0.826456,,,,,
3,233892,0.786311,,,,,
4,281344,0.705087,,,,,
5,358874,0.587612,,,,,
6,463600,0.442423,,,,,
7,578799,0.29398,,,,,
8,703207,0.168503,,,,,
9,780699,0.0838379,,,,,
10,827913,0.0356905,,,,,
11,853146,0.012377,,,,,
12,863662,0.0038678,,,,,
13,868083,0.00077356,,,,,
14,869478,0.000160047,,,,,
0,212947,,0.82891,,,,
1,212947,,0.82891,,,,
2,219962,,0.814452,,,,
3,243522,,0.771186,,,,
4,291883,,0.689135,,,,
5,370982,,0.569474,,,,
6,475389,,0.425565,,,,
7,589281,,0.279762,,,,
8,708737,,0.161541,,,,
9,783952,,0.0799968,,,,
10,829982,,0.0333431,,,,
11,853898,,0.0115501,,,,
12,863853,,0.00365441,,,,
13,868101,,0.000746886,,,,
14,869478,,0.000160047,,,,
0,217467,,,0.820294,,,
1,217467,,,0.820294,,,
2,224838,,,0.80525,,,
3,248958,,,0.760997,,,
4,298066,,,0.677825,,,
5,376742,,,0.559791,,,
6,480434,,,0.417562,,,
7,593738,,,0.2736,,,
8,712104,,,0.157006,,,
9,784990,,,0.0785831,,,
10,830440,,,0.0327029,,,
11,853968,,,0.01147,,,
12,863868,,,0.00362773,,,
13,868101,,,0.000746886,,,
14,869478,,,0.000160047,,,
0,217656,,,,0.820027,,
1,217656,,,,0.820027,,
2,225043,,,,0.804983,,
3,249143,,,,0.76073,,
4,298255,,,,0.677559,,
5,376935,,,,0.559497,,
6,480668,,,,0.417189,,
7,594012,,,,0.273173,,
8,712491,,,,0.156473,,
9,785465,,,,0.0779429,,
10,830681,,,,0.0322761,,
11,854048,,,,0.0113633,,
12,863868,,,,0.00362773,,
13,868101,,,,0.000746886,,
14,869478,,,,0.000160047,,
0,220815,,,,,0.817867,
0,871254,,,,,,0.00704207
