,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,206231,0.98592,,,,,
1,206231,0.98592,,,,,
2,212178,0.944432,,,,,
3,233892,0.861298,,,,,
4,281344,0.736558,,,,,
5,358874,0.585438,,,,,
6,463600,0.419724,,,,,
7,578799,0.269671,,,,,
8,703207,0.149855,,,,,
9,780699,0.0714865,,,,,
10,827913,0.0300382,,,,,
11,853146,0.0100259,,,,,
12,863662,0.00328264,,,,,
13,868083,0.000731674,,,,,
14,869478,0.00019775,,,,,
0,212947,,0.984754,,,,
1,212947,,0.984754,,,,
2,219962,,0.935138,,,,
3,243522,,0.84443,,,,
4,291883,,0.717792,,,,
5,370982,,0.563745,,,,
6,475389,,0.400443,,,,
7,589281,,0.253653,,,,
8,708737,,0.14238,,,,
9,783952,,0.0673337,,,,
10,829982,,0.0277047,,,,
11,853898,,0.00927446,,,,
12,863853,,0.00308489,,,,
13,868101,,0.000731674,,,,
14,869478,,0.00019775,,,,
0,217467,,,0.979296,,,
1,217467,,,0.979296,,,
2,224838,,,0.927149,,,
3,248958,,,0.834306,,,
4,298066,,,0.705729,,,
5,376742,,,0.552947,,,
6,480434,,,0.391861,,,
7,593738,,,0.246989,,,
8,712104,,,0.137535,,,
9,784990,,,0.0660484,,,
10,830440,,,0.0272301,,,
11,853968,,,0.00921513,,,
12,863868,,,0.00308489,,,
13,868101,,,0.000731674,,,
14,869478,,,0.00019775,,,
0,217656,,,,0.979039,,
1,217656,,,,0.979039,,
2,225043,,,,0.926892,,
3,249143,,,,0.834049,,
4,298255,,,,0.705472,,
5,376935,,,,0.552671,,
6,480668,,,,0.391544,,
7,594012,,,,0.246594,,
8,712491,,,,0.136981,,
9,785465,,,,0.0654353,,
10,830681,,,,0.0270521,,
11,854048,,,,0.00915581,,
12,863868,,,,0.00308489,,
13,868101,,,,0.000731674,,
14,869478,,,,0.00019775,,
0,220815,,,,,0.975182,
0,871254,,,,,,0.00885918
