,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,206231,0.0171967,,,,,
1,206231,0.0171967,,,,,
2,212178,0.0171967,,,,,
3,233892,0.0171967,,,,,
4,281344,0.0171867,,,,,
5,358874,0.0171567,,,,,
6,463600,0.0171467,,,,,
7,578799,0.0170066,,,,,
8,703207,0.0166765,,,,,
9,780699,0.0164164,,,,,
10,827913,0.0144656,,,,,
11,853146,0.0120447,,,,,
12,863662,0.00687268,,,,,
13,868083,0.0033213,,,,,
14,869478,0.00161063,,,,,
0,212947,,0.0171767,,,,
1,212947,,0.0171767,,,,
2,219962,,0.0171767,,,,
3,243522,,0.0171767,,,,
4,291883,,0.0171667,,,,
5,370982,,0.0171367,,,,
6,475389,,0.0171267,,,,
7,589281,,0.0169866,,,,
8,708737,,0.0166565,,,,
9,783952,,0.0163964,,,,
10,829982,,0.0144456,,,,
11,853898,,0.0120247,,,,
12,863853,,0.00685267,,,,
13,868101,,0.0033213,,,,
14,869478,,0.00161063,,,,
0,217467,,,0.0171767,,,
1,217467,,,0.0171767,,,
2,224838,,,0.0171767,,,
3,248958,,,0.0171767,,,
4,298066,,,0.0171667,,,
5,376742,,,0.0171367,,,
6,480434,,,0.0171267,,,
7,593738,,,0.0169866,,,
8,712104,,,0.0166565,,,
9,784990,,,0.0163964,,,
10,830440,,,0.0144456,,,
11,853968,,,0.0120247,,,
12,863868,,,0.00685267,,,
13,868101,,,0.0033213,,,
14,869478,,,0.00161063,,,
0,217656,,,,0.0171767,,
1,217656,,,,0.0171767,,
2,225043,,,,0.0171767,,
3,249143,,,,0.0171767,,
4,298255,,,,0.0171667,,
5,376935,,,,0.0171367,,
6,480668,,,,0.0171267,,
7,594012,,,,0.0169866,,
8,712491,,,,0.0166565,,
9,785465,,,,0.0163964,,
10,830681,,,,0.0144456,,
11,854048,,,,0.0120247,,
12,863868,,,,0.00685267,,
13,868101,,,,0.0033213,,
14,869478,,,,0.00161063,,
0,220815,,,,,0.0171767,
0,871254,,,,,,0.0
