,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,206231,0.522694,,,,,
1,206231,0.522694,,,,,
2,212178,0.511626,,,,,
3,233892,0.482985,,,,,
4,281344,0.434737,,,,,
5,358874,0.367873,,,,,
6,463600,0.283581,,,,,
7,578799,0.197328,,,,,
8,703207,0.120491,,,,,
9,780699,0.065067,,,,,
10,827913,0.0328329,,,,,
11,853146,0.0170153,,,,,
12,863662,0.0114296,,,,,
13,868083,0.00902389,,,,,
14,869478,0.0085696,,,,,
0,212947,,0.506515,,,,
1,212947,,0.506515,,,,
2,219962,,0.495158,,,,
3,243522,,0.466104,,,,
4,291883,,0.418424,,,,
5,370982,,0.351374,,,,
6,475389,,0.269519,,,,
7,589281,,0.18596,,,,
8,708737,,0.114378,,,,
9,783952,,0.0618457,,,,
10,829982,,0.0310467,,,,
11,853898,,0.0163442,,,,
12,863853,,0.0112128,,,,
13,868101,,0.00899292,,,,
14,869478,,0.0085696,,,,
0,217467,,,0.497223,,,
1,217467,,,0.497223,,,
2,224838,,,0.485783,,,
3,248958,,,0.456687,,,
4,298066,,,0.408904,,,
5,376742,,,0.343238,,,
6,480434,,,0.262767,,,
7,593738,,,0.181077,,,
8,712104,,,0.110889,,,
9,784990,,,0.0608338,,,
10,830440,,,0.0305924,,,
11,853968,,,0.0162616,,,
12,863868,,,0.0111818,,,
13,868101,,,0.00899292,,,
14,869478,,,0.0085696,,,
0,217656,,,,0.496644,,
1,217656,,,,0.496644,,
2,225043,,,,0.485205,,
3,249143,,,,0.456109,,
4,298255,,,,0.408326,,
5,376935,,,,0.34266,,
6,480668,,,,0.262188,,
7,594012,,,,0.180498,,
8,712491,,,,0.11031,,
9,785465,,,,0.0602453,,
10,830681,,,,0.030293,,
11,854048,,,,0.016148,,
12,863868,,,,0.0111818,,
13,868101,,,,0.00899292,,
14,869478,,,,0.0085696,,
0,220815,,,,,0.498606,
0,871254,,,,,,0.0177793
