,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,147158,0.365995,,,,,
1,147158,0.365995,,,,,
2,183507,0.183476,,,,,
3,206679,0.0560372,,,,,
4,215251,0.0113477,,,,,
5,217165,0.0029963,,,,,
6,217697,0.000255004,,,,,
7,217772,6.37511e-05,,,,,
8,217801,6.37511e-05,,,,,
9,217875,0.0,,,,,
10,217875,0.0,,,,,
11,217875,0.0,,,,,
12,217875,0.0,,,,,
13,217875,0.0,,,,,
14,217875,0.0,,,,,
0,148429,,0.357771,,,,
1,148429,,0.357771,,,,
2,185213,,0.173658,,,,
3,208397,,0.0461558,,,,
4,215472,,0.0100089,,,,
5,217375,,0.00165753,,,,
6,217771,,0.000191253,,,,
7,217846,,0.0,,,,
8,217875,,0.0,,,,
9,217875,,0.0,,,,
10,217875,,0.0,,,,
11,217875,,0.0,,,,
12,217875,,0.0,,,,
13,217875,,0.0,,,,
14,217875,,0.0,,,,
0,148747,,,0.355731,,,
1,148747,,,0.355731,,,
2,185549,,,0.171427,,,
3,208857,,,0.043797,,,
4,215960,,,0.00765013,,,
5,217492,,,0.00121127,,,
6,217786,,,0.000191253,,,
7,217854,,,0.0,,,
8,217875,,,0.0,,,
9,217875,,,0.0,,,
10,217875,,,0.0,,,
11,217875,,,0.0,,,
12,217875,,,0.0,,,
13,217875,,,0.0,,,
14,217875,,,0.0,,,
0,148747,,,,0.355731,,
1,148747,,,,0.355731,,
2,185549,,,,0.171427,,
3,208857,,,,0.043797,,
4,215960,,,,0.00765013,,
5,217492,,,,0.00121127,,
6,217786,,,,0.000191253,,
7,217854,,,,0.0,,
8,217875,,,,0.0,,
9,217875,,,,0.0,,
10,217875,,,,0.0,,
11,217875,,,,0.0,,
12,217875,,,,0.0,,
13,217875,,,,0.0,,
14,217875,,,,0.0,,
0,196547,,,,,0.538251,
0,246245,,,,,,0.297399
