,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,145984,0.0140727,,,,,
1,145984,0.0140727,,,,,
2,146340,0.0140727,,,,,
3,147676,0.0140727,,,,,
4,158433,0.0140727,,,,,
5,178161,0.0140727,,,,,
6,225667,0.0140727,,,,,
7,287366,0.0140627,,,,,
8,362639,0.0140127,,,,,
9,431951,0.0139326,,,,,
10,484804,0.0137726,,,,,
11,521892,0.0116822,,,,,
12,541686,0.00952181,,,,,
13,550208,0.00611116,,,,,
14,553304,0.00304058,,,,,
0,232890,,0.0137926,,,,
1,232890,,0.0137926,,,,
2,233303,,0.0137926,,,,
3,234701,,0.0137926,,,,
4,238237,,0.0137926,,,,
5,258137,,0.0137926,,,,
6,289740,,0.0137926,,,,
7,331461,,0.0137826,,,,
8,377459,,0.0137426,,,,
9,440763,,0.0136626,,,,
10,489364,,0.0135626,,,,
11,523561,,0.0116622,,,,
12,541967,,0.00950181,,,,
13,550288,,0.00609116,,,,
14,553359,,0.00302057,,,,
0,405462,,,0.0073714,,,
1,405462,,,0.0073714,,,
2,405880,,,0.0073714,,,
3,407284,,,0.0073714,,,
4,410829,,,0.0073714,,,
5,417617,,,0.0073714,,,
6,429030,,,0.0073714,,,
7,444244,,,0.0073614,,,
8,461476,,,0.00732139,,,
9,477668,,,0.00729139,,,
10,510493,,,0.00724138,,,
11,533690,,,0.00552105,,,
12,546784,,,0.00340065,,,
13,552020,,,0.00154029,,,
14,553972,,,0.00152029,,,
0,452457,,,,0.00352067,,
1,452457,,,,0.00352067,,
2,452871,,,,0.00352067,,
3,454275,,,,0.00352067,,
4,457827,,,,0.00352067,,
5,464615,,,,0.00352067,,
6,476028,,,,0.00352067,,
7,491242,,,,0.00351067,,
8,508474,,,,0.00347066,,
9,524662,,,,0.00344065,,
10,537507,,,,0.00343065,,
11,546579,,,,0.00310059,,
12,551930,,,,0.00293056,,
13,553741,,,,0.00138026,,
14,554451,,,,0.00138026,,
0,452478,,,,,0.00352067,
0,554797,,,,,,0.0
