,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.343699,,,
1,125034,0.102423,,,
2,187534,0.0452535,,,
3,250034,0.0229719,,,
4,312534,0.013397,,,
5,375034,0.00891464,,,
6,437534,0.00644335,,,
7,500034,0.00496258,,,
8,562534,0.00376196,,,
9,625034,0.00295153,,,
0,901031,,1.00052e-05,,
1,900126,,1.00052e-05,,
2,781563,,1.00052e-05,,
3,694947,,1.00052e-05,,
4,607749,,2.00104e-05,,
5,535622,,2.00104e-05,,
6,480416,,4.00208e-05,,
7,428186,,0.000140073,,
8,378123,,0.000160083,,
9,327098,,0.000380198,,
10,284869,,0.00122063,,
11,228842,,0.00178093,,
12,208160,,0.00848441,,
13,198122,,0.0162785,,
14,193316,,0.0428823,,
15,190592,,0.103234,,
16,190172,,0.149078,,
17,190152,,0.177412,,
18,190152,,0.177412,,
19,190152,,0.177412,,
0,211856,,,0.17346,
0,904952,,,,8.00416e-05
