,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.758051,,,
1,125034,0.427867,,,
2,187534,0.283521,,,
3,250034,0.214552,,,
4,312534,0.162838,,,
5,375034,0.129073,,,
6,437534,0.108126,,,
7,500034,0.0925719,,,
8,562534,0.0806797,,,
9,625034,0.0722385,,,
0,1414095,,4.02443e-05,,
1,1413752,,4.02443e-05,,
2,1283763,,4.02443e-05,,
3,1189276,,5.03054e-05,,
4,1082464,,0.000171038,,
5,985338,,0.000181099,,
6,905610,,0.00037226,,
7,820283,,0.000422565,,
8,729813,,0.00125763,,
9,622089,,0.00301832,,
10,492786,,0.00758605,,
11,429363,,0.016963,,
12,328062,,0.0347308,,
13,228032,,0.0902377,,
14,181819,,0.155152,,
15,164216,,0.190768,,
16,164137,,0.19268,,
17,164137,,0.19268,,
18,164137,,0.19268,,
19,164137,,0.19268,,
0,164159,,,0.192609,
0,1414064,,,,4.02443e-05
