,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.361139,,,
1,125034,0.196797,,,
2,187534,0.156285,,,
3,250034,0.13388,,,
4,312534,0.123419,,,
5,375034,0.113629,,,
6,437534,0.104576,,,
7,500034,0.0930759,,,
8,562534,0.0833839,,,
9,625034,0.0731721,,,
0,900423,,0.019893,,
1,899503,,0.0205103,,
2,780860,,0.047453,,
3,694138,,0.0685805,,
4,607023,,0.0998332,,
5,534584,,0.13035,,
6,479673,,0.156859,,
7,427721,,0.186043,,
8,377301,,0.219235,,
9,326792,,0.256747,,
10,284553,,0.297789,,
11,228883,,0.315581,,
12,208157,,0.342567,,
13,197716,,0.359005,,
14,192789,,0.368503,,
15,189898,,0.375531,,
16,189530,,0.376841,,
17,189509,,0.376982,,
18,189509,,0.376982,,
19,189509,,0.376982,,
0,211177,,,0.36233,
0,904409,,,,0.0396019
