,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.999692,,,
1,125034,0.999692,,,
2,187534,0.999692,,,
3,250034,0.999692,,,
4,312534,0.999692,,,
5,375034,0.999604,,,
6,437534,0.999494,,,
7,500034,0.999253,,,
8,562534,0.998263,,,
9,625034,0.997252,,,
0,1414095,,0.0,,
1,1413752,,0.00032975,,
2,1283763,,0.1656,,
3,1189276,,0.270329,,
4,1082464,,0.390622,,
5,985338,,0.489745,,
6,905610,,0.564312,,
7,820283,,0.639275,,
8,729813,,0.710128,,
9,622089,,0.78685,,
10,492786,,0.868913,,
11,429363,,0.903933,,
12,328062,,0.950054,,
13,228032,,0.978324,,
14,181819,,0.990547,,
15,164216,,0.994043,,
16,164137,,0.994064,,
17,164137,,0.994064,,
18,164137,,0.994064,,
19,164137,,0.994064,,
0,164159,,,0.994064,
0,1414064,,,,0.0
