,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.210885,,,
1,125034,0.0377745,,,
2,187534,0.0125515,,,
3,250034,0.00575069,,,
4,312534,0.00391047,,,
5,375034,0.00216026,,,
6,437534,0.00181022,,,
7,500034,0.00131016,,,
8,562534,0.00102012,,,
9,625034,0.000850102,,,
0,869876,,0.0,,
1,869545,,0.0,,
2,743162,,0.0,,
3,625403,,0.0,,
4,529809,,0.0,,
5,449107,,0.0,,
6,387851,,0.0,,
7,333912,,0.0,,
8,285866,,2.00024e-05,,
9,244943,,4.00048e-05,,
10,223237,,9.00108e-05,,
11,217585,,0.000150018,,
12,212304,,0.000450054,,
13,210912,,0.000860103,,
14,210469,,0.00322039,,
15,210337,,0.00549066,,
16,209919,,0.0143317,,
17,209783,,0.017082,,
18,209719,,0.0544965,,
19,209719,,0.0544965,,
0,220826,,,0.0544765,
0,871063,,,,0.000210025
