,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.392385,,,
1,125034,0.139118,,,
2,187534,0.070245,,,
3,250034,0.0380961,,,
4,312534,0.025651,,,
5,375034,0.0182921,,,
6,437534,0.0137566,,,
7,500034,0.0113437,,,
8,562534,0.0085103,,,
9,625034,0.00661801,,,
0,900423,,0.0,,
1,899503,,0.0,,
2,780860,,0.0,,
3,694138,,0.0,,
4,607023,,0.0,,
5,534584,,1.00121e-05,,
6,479673,,5.00606e-05,,
7,427721,,0.000100121,,
8,377301,,0.000180218,,
9,326792,,0.000370448,,
10,284553,,0.00134162,,
11,228883,,0.00213258,,
12,208157,,0.0061975,,
13,197716,,0.0160594,,
14,192789,,0.0407393,,
15,189898,,0.10731,,
16,189530,,0.145276,,
17,189509,,0.166932,,
18,189509,,0.166932,,
19,189509,,0.166932,,
0,211177,,,0.162807,
0,904409,,,,1.00121e-05
