,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,
1,25034,1.0,,,,,,,,
2,37534,1.0,,,,,,,,
3,50034,1.0,,,,,,,,
4,62534,1.0,,,,,,,,
5,75034,1.0,,,,,,,,
6,87534,1.0,,,,,,,,
7,100034,1.0,,,,,,,,
0,79479,,0.750286,,,,,,,
1,119153,,0.187286,,,,,,,
2,158832,,0.0281271,,,,,,,
3,198503,,0.00548822,,,,,,,
4,238181,,0.00114338,,,,,,,
5,277852,,0.0,,,,,,,
0,55106,,,0.946032,,,,,,
1,82586,,,0.438372,,,,,,
2,110077,,,0.098102,,,,,,
3,137558,,,0.016922,,,,,,
4,165047,,,0.00297279,,,,,,
5,192529,,,0.000228676,,,,,,
0,30725,,,,0.999771,,,,,
1,46022,,,,0.932083,,,,,
2,61321,,,,0.434027,,,,,
3,76611,,,,0.098788,,,,,
4,91909,,,,0.0214955,,,,,
5,107203,,,,0.00205808,,,,,
0,127517,,,,,0.0,,,,
1,114321,,,,,0.999771,,,,
2,84734,,,,,0.999771,,,,
3,71585,,,,,1.0,,,,
4,46301,,,,,1.0,,,,
5,28369,,,,,1.0,,,,
6,24684,,,,,1.0,,,,
7,22986,,,,,1.0,,,,
8,22914,,,,,1.0,,,,
9,22836,,,,,1.0,,,,
10,22836,,,,,1.0,,,,
0,22836,,,,,,1.0,,,
1,22836,,,,,,1.0,,,
2,22842,,,,,,0.999543,,,
3,22866,,,,,,0.998857,,,
4,23008,,,,,,0.995426,,,
5,23824,,,,,,0.978962,,,
6,26649,,,,,,0.935056,,,
7,37442,,,,,,0.795106,,,
8,59846,,,,,,0.551795,,,
9,92128,,,,,,0.272353,,,
10,113072,,,,,,0.0978733,,,
11,123212,,,,,,0.025383,,,
12,126209,,,,,,0.00548822,,,
13,126945,,,,,,0.000686028,,,
14,127369,,,,,,0.0,,,
0,22813,,,,,,,0.999771,,
0,22813,,,,,,,0.999771,,
1,24077,,,,,,,0.999771,,
2,25325,,,,,,,0.999771,,
3,26573,,,,,,,0.999771,,
4,27821,,,,,,,0.999771,,
5,29069,,,,,,,0.999314,,
6,30317,,,,,,,0.999314,,
7,31573,,,,,,,0.999314,,
8,32821,,,,,,,0.999085,,
0,22813,,,,,,,,0.999771,
0,127485,,,,,,,,,0.0
