memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
127	0.791667	0.746401			
252	0.53125	0.496414			
377	0.322917	0.35922			
502	0.135417	0.246426			
627	0.145833	0.176535			
752	0.104167	0.122329			
877	0.0520833	0.0872078			
1002	0	0.060726			
1127	0.03125	0.0431668			
1252	0	0.0301452			
1377	0	0.021388			
1502	0.0104167	0.0149645			
1627	0.0208333	0.0106031			
1752	0	0.00742858			
1877	0	0.00525824			
2002	0	0.00368765			
2127	0	0.00260824			
2252	0	0.0018306			
2377	0	0.00129397			
2502	0	0.000908734			
1024			0.21875	0.270018	
1280			0.114583	0.145602	
1536			0.0833333	0.0756613	
1792			0.03125	0.0385741	
2048			0.03125	0.0194766	
2304			0.0104167	0.00978613	
2560			0.0104167	0.00490508	
2816			0	0.00245555	
901					0.979167
925					0.979167
941					0.979167
949					0.979167
965					0.96875
973					0.958333
989					0.947917
997					0.947917
1013					0.947917
