memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
127	0.86	0.746401			
252	0.6	0.496414			
377	0.41	0.35922			
502	0.23	0.246426			
627	0.13	0.176535			
752	0.12	0.122329			
877	0.06	0.0872078			
1002	0.07	0.060726			
1127	0.03	0.0431668			
1252	0.01	0.0301452			
1377	0.03	0.021388			
1502	0	0.0149645			
1627	0	0.0106031			
1752	0.02	0.00742858			
1877	0.01	0.00525824			
2002	0	0.00368765			
2127	0	0.00260824			
2252	0.01	0.0018306			
2377	0	0.00129397			
2502	0.01	0.000908734			
1024			0.28	0.270018	
1280			0.13	0.145602	
1536			0.07	0.0756613	
1792			0.02	0.0385741	
2048			0.02	0.0194766	
2304			0.02	0.00978613	
2560			0.01	0.00490508	
2816			0	0.00245555	
901					0.22
925					0.22
941					0.22
949					0.22
965					0.08
973					0.04
989					0.01
997					0.01
1013					0.01
