memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
127	0.630435	0.731794			
252	0.467391	0.482114			
377	0.282609	0.341184			
502	0.195652	0.232434			
627	0.0543478	0.162748			
752	0.0652174	0.11206			
877	0.0543478	0.0780609			
1002	0.0108696	0.0540255			
1127	0.0108696	0.0375208			
1252	0	0.0260464			
1377	0	0.0180534			
1502	0	0.0125574			
1627	0.0108696	0.00869157			
1752	0	0.00605407			
1877	0	0.00418594			
2002	0	0.00291875			
2127	0	0.00201646			
2252	0	0.00140717			
2377	0	0.000971538			
2502	0	0.000677252			
1024			0.23913	0.226529	
1280			0.141304	0.120521	
1536			0.076087	0.0621928	
1792			0.0326087	0.0315951	
2048			0.0217391	0.0159242	
2304			0.0108696	0.00799403	
2560			0.0108696	0.00400503	
2816			0	0.00200452	
963					0.967391
987					0.967391
995					0.967391
1011					0.967391
1019					0.923913
1035					0.902174
1043					0.891304
1059					0.891304
1067					0.891304
