memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
127	0.69	0.731794			
252	0.43	0.482114			
377	0.22	0.341184			
502	0.19	0.232434			
627	0.1	0.162748			
752	0.07	0.11206			
877	0.03	0.0780609			
1002	0.03	0.0540255			
1127	0.02	0.0375208			
1252	0.01	0.0260464			
1377	0	0.0180534			
1502	0	0.0125574			
1627	0	0.00869157			
1752	0	0.00605407			
1877	0.01	0.00418594			
2002	0	0.00291875			
2127	0	0.00201646			
2252	0	0.00140717			
2377	0	0.000971538			
2502	0	0.000677252			
1024			0.21	0.226529	
1280			0.13	0.120521	
1536			0.07	0.0621928	
1792			0.05	0.0315951	
2048			0.01	0.0159242	
2304			0	0.00799403	
2560			0	0.00400503	
2816			0	0.00200452	
963					0.25
987					0.25
995					0.25
1011					0.25
1019					0.13
1035					0.07
1043					0.02
1059					0.02
1067					0.01
