memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
127	0.717172	0.731794			
252	0.484848	0.482114			
377	0.20202	0.341184			
502	0.191919	0.232434			
627	0.0808081	0.162748			
752	0.0505051	0.11206			
877	0.040404	0.0780609			
1002	0.040404	0.0540255			
1127	0.0505051	0.0375208			
1252	0	0.0260464			
1377	0	0.0180534			
1502	0	0.0125574			
1627	0	0.00869157			
1752	0	0.00605407			
1877	0	0.00418594			
2002	0	0.00291875			
2127	0	0.00201646			
2252	0	0.00140717			
2377	0	0.000971538			
2502	0	0.000677252			
1024			0.242424	0.226529	
1280			0.161616	0.120521	
1536			0.10101	0.0621928	
1792			0.0606061	0.0315951	
2048			0.040404	0.0159242	
2304			0.010101	0.00799403	
2560			0.010101	0.00400503	
2816			0.010101	0.00200452	
963					0.373737
987					0.373737
995					0.373737
1011					0.373737
1019					0.292929
1035					0.242424
1043					0.212121
1059					0.191919
1067					0.191919
