memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
127	0.747475	0.746401			
252	0.505051	0.496414			
377	0.333333	0.35922			
502	0.212121	0.246426			
627	0.141414	0.176535			
752	0.0707071	0.122329			
877	0.0606061	0.0872078			
1002	0.040404	0.060726			
1127	0.010101	0.0431668			
1252	0.040404	0.0301452			
1377	0.010101	0.021388			
1502	0.020202	0.0149645			
1627	0	0.0106031			
1752	0.010101	0.00742858			
1877	0	0.00525824			
2002	0	0.00368765			
2127	0	0.00260824			
2252	0	0.0018306			
2377	0	0.00129397			
2502	0	0.000908734			
1024			0.323232	0.270018	
1280			0.212121	0.145602	
1536			0.131313	0.0756613	
1792			0.0606061	0.0385741	
2048			0.020202	0.0194766	
2304			0.010101	0.00978613	
2560			0.010101	0.00490508	
2816			0	0.00245555	
901					0.212121
925					0.212121
941					0.212121
949					0.212121
965					0.131313
973					0.0606061
989					0.030303
997					0.010101
1013					0
