memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
127	0.636364	0.736315			
252	0.353535	0.486497			
377	0.292929	0.346681			
502	0.131313	0.23668			
627	0.141414	0.166903			
752	0.10101	0.115144			
877	0.020202	0.0807881			
1002	0.030303	0.0560172			
1127	0.020202	0.0391864			
1252	0.020202	0.0272522			
1377	0	0.0190268			
1502	0.010101	0.0132581			
1627	0.010101	0.00924366			
1752	0	0.00645005			
1877	0	0.00449237			
2002	0	0.00313793			
2127	0.010101	0.00218378			
2252	0	0.0015266			
2377	0	0.00106173			
2502	0	0.000742685			
1024			0.252525	0.234047	
1280			0.121212	0.124805	
1536			0.0909091	0.0644797	
1792			0.030303	0.0327765	
2048			0.020202	0.0165247	
2304			0	0.00829672	
2560			0	0.00415699	
2816			0	0.00208066	
981					0.565657
997					0.565657
1013					0.565657
1021					0.565657
1037					0.353535
1045					0.171717
1061					0.131313
1069					0.131313
1085					0.121212
