,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.31297,,,,,,,
1,75034,0.00092,,,,,,,
2,137534,4e-05,,,,,,,
3,200034,0.0,,,,,,,
4,262534,0.0,,,,,,,
5,325034,0.0,,,,,,,
6,387534,0.0,,,,,,,
7,450034,0.0,,,,,,,
0,217875,,0.0,,,,,,
1,159131,,0.0,,,,,,
2,149076,,0.0,,,,,,
3,148761,,0.0,,,,,,
4,148747,,0.0,,,,,,
5,148747,,0.0,,,,,,
6,148747,,0.0,,,,,,
7,148747,,0.0,,,,,,
8,148747,,0.0,,,,,,
9,148747,,0.0,,,,,,
10,148747,,0.0,,,,,,
0,196547,,,0.0,,,,,
0,333274,,,,0.0,,,,
1,302985,,,,1e-05,,,,
2,277744,,,,0.0,,,,
3,256387,,,,0.0,,,,
4,238080,,,,0.0,,,,
5,222215,,,,0.0,,,,
6,208332,,,,2e-05,,,,
7,196083,,,,2e-05,,,,
8,185195,,,,0.0,,,,
9,175453,,,,1e-05,,,,
0,249916,,,,,0.00021,,,
1,227199,,,,,0.0003,,,
2,208268,,,,,0.00014,,,
3,192250,,,,,0.00036,,,
4,178520,,,,,0.00037,,,
5,166621,,,,,0.00052,,,
6,156209,,,,,0.00061,,,
7,147022,,,,,0.0008,,,
8,138856,,,,,0.0006,,,
9,131550,,,,,0.00138,,,
0,291563,,,,,,0.0001,,
1,265060,,,,,,0.00017,,
2,242974,,,,,,4e-05,,
3,224286,,,,,,0.00012,,
4,208268,,,,,,0.0002,,
5,194386,,,,,,0.00018,,
6,182238,,,,,,0.0002,,
7,171520,,,,,,0.0004,,
8,161993,,,,,,0.00017,,
9,153469,,,,,,0.00062,,
0,333210,,,,,,,3e-05,
1,302921,,,,,,,6e-05,
2,277680,,,,,,,3e-05,
3,256323,,,,,,,2e-05,
4,238016,,,,,,,6e-05,
5,222151,,,,,,,5e-05,
6,208268,,,,,,,0.00011,
7,196019,,,,,,,9e-05,
8,185131,,,,,,,6e-05,
9,175389,,,,,,,0.00027,
0,246245,,,,,,,,0.0
