,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.999585,,,,,,,
1,75034,0.998533,,,,,,,
2,137534,0.993553,,,,,,,
3,200034,0.983785,,,,,,,
4,262534,0.970365,,,,,,,
5,325034,0.953901,,,,,,,
6,387534,0.935501,,,,,,,
7,450034,0.918318,,,,,,,
0,901590,,0.0,,,,,,
1,782117,,0.215966,,,,,,
2,610710,,0.478639,,,,,,
3,485167,,0.643664,,,,,,
4,372392,,0.766823,,,,,,
5,294535,,0.831655,,,,,,
6,219539,,0.852573,,,,,,
7,205080,,0.85891,,,,,,
8,202061,,0.859629,,,,,,
9,202033,,0.859657,,,,,,
10,202033,,0.859657,,,,,,
0,211693,,,0.853071,,,,,
0,1312027,,,,0.53005,,,,
1,1192763,,,,0.543747,,,,
2,1093376,,,,0.557692,,,,
3,1009279,,,,0.568982,,,,
4,937197,,,,0.58907,,,,
5,874725,,,,0.597427,,,,
6,820062,,,,0.608661,,,,
7,771831,,,,0.619314,,,,
8,728958,,,,0.635971,,,,
9,690598,,,,0.644549,,,,
0,983987,,,,,0.955755,,,
1,894539,,,,,0.956309,,,
2,819998,,,,,0.958744,,,
3,756926,,,,,0.958578,,,
4,702864,,,,,0.960985,,,
5,656010,,,,,0.961483,,,
6,615013,,,,,0.962341,,,
7,578840,,,,,0.962839,,,
8,546685,,,,,0.96378,,,
9,517915,,,,,0.965551,,,
0,1147975,,,,,,0.905313,,
1,1043619,,,,,,0.905396,,
2,956655,,,,,,0.911677,,
3,883070,,,,,,0.911206,,
4,819998,,,,,,0.91544,,
5,765335,,,,,,0.918843,,
6,717505,,,,,,0.920531,,
7,675303,,,,,,0.922634,,
8,637789,,,,,,0.923824,,
9,604224,,,,,,0.926785,,
0,1311963,,,,,,,0.835113,
1,1192699,,,,,,,0.836469,
2,1093312,,,,,,,0.843885,
3,1009215,,,,,,,0.84513,
4,937133,,,,,,,0.853044,
5,874661,,,,,,,0.856143,
6,819998,,,,,,,0.860681,
7,771767,,,,,,,0.863724,
8,728894,,,,,,,0.866879,
9,690534,,,,,,,0.870725,
0,905455,,,,,,,,0.0123962
