,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,28486,0.926537,,,,,
1,45882,0.820167,,,,,
2,63276,0.678272,,,,,
3,80672,0.543359,,,,,
4,98066,0.430139,,,,,
5,115461,0.344915,,,,,
6,132856,0.278141,,,,,
7,150251,0.227583,,,,,
8,167646,0.188118,,,,,
9,185042,0.155837,,,,,
0,48857,,0.870119,,,,
1,67301,,0.74241,,,,
2,85746,,0.581632,,,,
3,104189,,0.446588,,,,
4,122633,,0.340116,,,,
5,141077,,0.267017,,,,
6,159521,,0.210882,,,,
7,177964,,0.168305,,,,
8,196411,,0.137782,,,,
9,214851,,0.112352,,,,
0,92350,,,0.743996,,,
1,112139,,,0.597959,,,
2,131935,,,0.443213,,,
3,151724,,,0.322334,,,
4,171518,,,0.240546,,,
5,191309,,,0.183511,,,
6,211100,,,0.141066,,,
7,230894,,,0.111271,,,
8,250682,,,0.0911341,,,
9,270476,,,0.0736954,,,
0,171380,,,,0.530083,,
1,192921,,,,0.391129,,
2,214465,,,,0.270856,,
3,236006,,,,0.189108,,
4,257550,,,,0.136762,,
5,279092,,,,0.102713,,
6,300636,,,,0.0781409,,
7,322175,,,,0.0622177,,
8,343720,,,,0.0507603,,
9,365263,,,,0.0409295,,
0,221111,,,,,0.500621,
0,869532,,,,,,0.0
