,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,28486,0.933739,,,,,
1,45882,0.880803,,,,,
2,63276,0.813473,,,,,
3,80672,0.743307,,,,,
4,98066,0.682887,,,,,
5,115461,0.620306,,,,,
6,132856,0.573694,,,,,
7,150251,0.530964,,,,,
8,167646,0.494525,,,,,
9,185042,0.460539,,,,,
0,48857,,0.896805,,,,
1,67301,,0.840414,,,,
2,85746,,0.764126,,,,
3,104189,,0.693071,,,,
4,122633,,0.625066,,,,
5,141077,,0.568753,,,,
6,159521,,0.520194,,,,
7,177964,,0.477015,,,,
8,196411,,0.440058,,,,
9,214851,,0.405611,,,,
0,92350,,,0.829622,,,
1,112139,,,0.769899,,,
2,131935,,,0.687377,,,
3,151724,,,0.611686,,,
4,171518,,,0.548823,,,
5,191309,,,0.493737,,,
6,211100,,,0.445775,,,
7,230894,,,0.409674,,,
8,250682,,,0.375553,,,
9,270476,,,0.344999,,,
0,171380,,,,0.733685,,
1,192921,,,,0.665545,,
2,214465,,,,0.581751,,
3,236006,,,,0.509391,,
4,257550,,,,0.450119,,
5,279092,,,,0.399849,,
6,300636,,,,0.361182,,
7,322175,,,,0.326971,,
8,343720,,,,0.294494,,
9,365263,,,,0.271458,,
0,221111,,,,,0.662957,
0,869532,,,,,,0.0
