,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,71937,0.952722,,,,,
1,96163,0.89582,,,,,
2,120390,0.813928,,,,,
3,144616,0.738211,,,,,
4,168845,0.667004,,,,,
5,193070,0.60295,,,,,
6,217297,0.552753,,,,,
7,241524,0.504655,,,,,
8,265750,0.469269,,,,,
9,289978,0.432665,,,,,
0,115754,,0.913863,,,,
1,141851,,0.847167,,,,
2,167946,,0.757918,,,,
3,194043,,0.676134,,,,
4,220138,,0.603999,,,,
5,246234,,0.544781,,,,
6,272329,,0.493921,,,,
7,298425,,0.452843,,,,
8,324520,,0.412789,,,,
9,350616,,0.379067,,,,
0,176544,,,0.852691,,,
1,205024,,,0.775153,,,
2,233501,,,0.681706,,,
3,261977,,,0.597173,,,
4,290461,,,0.528825,,,
5,318931,,,0.470186,,,
6,347407,,,0.423523,,,
7,375884,,,0.382046,,,
8,404360,,,0.350677,,,
9,432841,,,0.323323,,,
0,253517,,,,0.76911,,
1,285057,,,,0.677075,,
2,316590,,,,0.580927,,
3,348132,,,,0.499156,,
4,379670,,,,0.436537,,
5,411210,,,,0.385725,,
6,442747,,,,0.346926,,
7,474286,,,,0.307668,,
8,505829,,,,0.278662,,
9,537363,,,,0.255445,,
0,211393,,,,,0.729841,
0,904509,,,,,,0.0
