,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,311309,0.00784353,,,,,
1,328980,0.00764344,,,,,
2,346651,0.00685308,,,,,
3,364324,0.00597269,,,,,
4,381995,0.00546246,,,,,
5,399666,0.00415187,,,,,
6,417338,0.00364164,,,,,
7,435010,0.0033315,,,,,
8,452681,0.00302136,,,,,
9,470353,0.00256115,,,,,
0,444291,,0.000230104,,,,
1,463043,,0.000230104,,,,
2,481794,,0.000210095,,,,
3,500546,,0.000130059,,,,
4,519298,,0.000180081,,,,
5,538049,,0.000140063,,,,
6,556801,,0.00011005,,,,
7,575554,,8.0036e-05,,,,
8,594306,,5.00225e-05,,,,
9,613059,,0.000100045,,,,
0,577410,,,1.00045e-05,,,
1,597529,,,1.00045e-05,,,
2,617649,,,0.0,,,
3,637767,,,0.0,,,
4,657885,,,1.00045e-05,,,
5,678004,,,0.0,,,
6,698123,,,0.0,,,
7,718241,,,0.0,,,
8,738359,,,1.00045e-05,,,
9,758478,,,0.0,,,
0,710416,,,,0.0,,
1,732264,,,,0.0,,
2,754113,,,,0.0,,
3,775961,,,,0.0,,
4,797809,,,,0.0,,
5,819657,,,,0.0,,
6,841506,,,,0.0,,
7,863355,,,,0.0,,
8,885203,,,,0.0,,
9,907051,,,,0.0,,
0,164181,,,,,0.197269,
0,1413548,,,,,,0.0
