,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,24162,0.937167,,,,,
1,39848,0.822266,,,,,
2,55533,0.69774,,,,,
3,71220,0.599548,,,,,
4,86906,0.517754,,,,,
5,102592,0.457623,,,,,
6,118285,0.403954,,,,,
7,133964,0.364453,,,,,
8,149650,0.330975,,,,,
9,165335,0.30202,,,,,
0,39025,,0.915865,,,,
1,55447,,0.779403,,,,
2,71868,,0.651465,,,,
3,88291,,0.549661,,,,
4,104713,,0.468478,,,,
5,121136,,0.409877,,,,
6,137557,,0.365083,,,,
7,153980,,0.324212,,,,
8,170403,,0.294696,,,,
9,186826,,0.261549,,,,
0,66874,,,0.880277,,,
1,84222,,,0.723814,,,
2,101569,,,0.587882,,,
3,118917,,,0.494612,,,
4,136263,,,0.417751,,,
5,153611,,,0.361322,,,
6,170957,,,0.32077,,,
7,188305,,,0.278087,,,
8,205652,,,0.248522,,,
9,222999,,,0.22611,,,
0,113901,,,,0.826518,,
1,132430,,,,0.653436,,
2,150959,,,,0.527279,,
3,169489,,,,0.428917,,
4,188018,,,,0.362772,,
5,206548,,,,0.314066,,
6,225078,,,,0.268973,,
7,243607,,,,0.235705,,
8,262138,,,,0.210281,,
9,280667,,,,0.191271,,
0,453377,,,,,0.672136,
0,556214,,,,,,0.0
