,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,71937,0.788437,,,,,
1,96163,0.670268,,,,,
2,120390,0.524408,,,,,
3,144616,0.404641,,,,,
4,168845,0.315927,,,,,
5,193070,0.244636,,,,,
6,217297,0.196274,,,,,
7,241524,0.160335,,,,,
8,265750,0.130447,,,,,
9,289978,0.109313,,,,,
0,115754,,0.672907,,,,
1,141851,,0.546038,,,,
2,167946,,0.410136,,,,
3,194043,,0.304401,,,,
4,220138,,0.231801,,,,
5,246234,,0.177975,,,,
6,272329,,0.139334,,,,
7,298425,,0.114086,,,,
8,324520,,0.0928689,,,,
9,350616,,0.0785694,,,,
0,176544,,,0.54346,,,
1,205024,,,0.410343,,,
2,233501,,,0.29371,,,
3,261977,,,0.211873,,,
4,290461,,,0.157242,,,
5,318931,,,0.120808,,,
6,347407,,,0.0945184,,,
7,375884,,,0.0758477,,,
8,404360,,,0.063569,,,
9,432841,,,0.0522903,,,
0,253517,,,,0.410796,,
1,285057,,,,0.285978,,
2,316590,,,,0.194532,,
3,348132,,,,0.136942,,
4,379670,,,,0.100147,,
5,411210,,,,0.0773117,,
6,442747,,,,0.0597854,,
7,474286,,,,0.0500943,,
8,505829,,,,0.0395889,,
9,537363,,,,0.0328464,,
0,211393,,,,,0.363094,
0,904509,,,,,,0.0
