,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,1.90181e-07,2.09108e-07,,
1,750002,2.06933e-07,2.20596e-07,,
2,875002,2.32954e-07,2.27322e-07,,
3,1000002,2.14049e-07,2.20313e-07,,
4,1125002,2.16394e-07,2.20857e-07,,
5,1250002,2.34252e-07,2.2888e-07,,
6,1375002,2.23634e-07,2.15121e-07,,
7,1500002,2.31035e-07,2.21942e-07,,
8,1625002,2.59027e-07,2.28312e-07,,
9,1750002,2.16802e-07,2.28439e-07,,
10,1875002,2.21772e-07,2.30616e-07,,
11,2000002,2.2858e-07,2.83827e-07,,
12,2125002,2.16507e-07,2.19411e-07,,
13,2250002,2.22551e-07,2.22918e-07,,
14,2375002,2.16707e-07,2.28612e-07,,
15,2500002,2.21109e-07,2.30333e-07,,
16,2625002,2.26276e-07,2.34594e-07,,
17,2750002,2.16846e-07,2.19549e-07,,
18,2875002,2.18903e-07,2.2648e-07,,
19,3000002,2.22262e-07,2.22655e-07,,
20,3125002,2.17816e-07,2.19802e-07,,
21,1310720,,,9.98082e-08,1.09082e-07
22,1572864,,,9.79264e-08,1.09e-07
23,1835008,,,9.81689e-08,1.26342e-07
24,2097152,,,1.00313e-07,1.02269e-07
25,2359296,,,1.02709e-07,1.03519e-07
26,2621440,,,1.04047e-07,1.03151e-07
27,2883584,,,1.0601e-07,1.03908e-07
28,3145728,,,1.02893e-07,1.03701e-07
29,3407872,,,1.03189e-07,1.05699e-07
30,3670016,,,1.03483e-07,1.06914e-07
31,3932160,,,1.10697e-07,1.11956e-07
