,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Real,SuRF Base,FST
0,869585,0.0,,,,,,
1,742831,0.0,,,,,,
2,530175,0.0,,,,,,
3,388155,0.0,,,,,,
4,276907,0.0,,,,,,
5,225705,4.00008e-05,,,,,,
6,215239,0.000330007,,,,,,
7,213486,0.00320006,,,,,,
8,213121,0.0098902,,,,,,
9,212713,0.0190604,,,,,,
10,212713,0.0190604,,,,,,
0,212713,,0.0190604,,,,,
1,212713,,0.0190604,,,,,
2,220059,,0.0190604,,,,,
3,243379,,0.0190604,,,,,
4,291411,,0.0190604,,,,,
5,371361,,0.0190604,,,,,
6,474128,,0.0189604,,,,,
7,586557,,0.0174503,,,,,
8,706386,,0.0173003,,,,,
9,782955,,0.0170903,,,,,
10,830379,,0.0149203,,,,,
11,853795,,0.0124202,,,,,
12,863731,,0.0102402,,,,,
13,867282,,0.00836017,,,,,
14,868708,,0.00321006,,,,,
0,92482,,,0.0,,,,
1,112278,,,0.0,,,,
2,132077,,,0.0,,,,
3,151874,,,0.0,,,,
4,171671,,,0.0,,,,
5,191468,,,0.0,,,,
6,211264,,,0.0,,,,
7,231062,,,0.0,,,,
8,250858,,,0.0,,,,
9,270656,,,0.0,,,,
0,46956,,,,0.351367,,,
1,93840,,,,0.0736415,,,
2,140722,,,,0.0224904,,,
3,187606,,,,0.0052301,,,
4,234488,,,,0.00166003,,,
5,281373,,,,0.00048001,,,
6,328254,,,,0.000150003,,,
7,375136,,,,1.00002e-05,,,
8,422023,,,,1.00002e-05,,,
9,468901,,,,1.00002e-05,,,
0,220474,,,,,0.0190604,,
1,232978,,,,,0.0190604,,
2,245482,,,,,0.0190504,,
3,257978,,,,,0.0190504,,
4,270482,,,,,0.0101702,,
5,282978,,,,,0.0051501,,
6,295482,,,,,0.00252005,,
7,307978,,,,,0.00123002,,
8,320482,,,,,0.000560011,,
0,220474,,,,,,0.0190604,
0,870836,,,,,,,0.0
