,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Real,SuRF Base,FST
0,1412317,0.0,,,,,,
1,1281903,0.985172,,,,,,
2,1081108,0.999875,,,,,,
3,904227,0.999875,,,,,,
4,699931,0.999875,,,,,,
5,491905,0.999875,,,,,,
6,327599,0.999875,,,,,,
7,182339,0.999875,,,,,,
8,164186,0.999875,,,,,,
9,164186,0.999875,,,,,,
10,164186,0.999875,,,,,,
0,164186,,0.999875,,,,,
1,164186,,0.999875,,,,,
2,164267,,0.999272,,,,,
3,164739,,0.997515,,,,,
4,166698,,0.992461,,,,,
5,173282,,0.980045,,,,,
6,191639,,0.952208,,,,,
7,258889,,0.897636,,,,,
8,346440,,0.802926,,,,,
9,496004,,0.661485,,,,,
10,708636,,0.482421,,,,,
11,955698,,0.295413,,,,,
12,1174418,,0.144509,,,,,
13,1321250,,0.0520449,,,,,
14,1388598,,0.0127383,,,,,
0,577425,,,0.920752,,,,
1,597578,,,0.813616,,,,
2,617732,,,0.710316,,,,
3,637884,,,0.618487,,,,
4,658038,,,0.544262,,,,
5,678191,,,0.484678,,,,
6,698346,,,0.434089,,,,
7,718499,,,0.390945,,,,
8,738652,,,0.353957,,,,
9,758806,,,0.319715,,,,
0,50240,,,,0.953446,,,
1,100407,,,,0.785425,,,
2,150569,,,,0.639897,,,
3,200736,,,,0.537929,,,
4,250900,,,,0.460303,,,
5,301065,,,,0.39969,,,
6,351233,,,,0.343787,,,
7,401397,,,,0.287916,,,
8,451560,,,,0.247611,,,
9,501728,,,,0.211289,,,
0,164174,,,,,0.999886,,
1,176678,,,,,0.999886,,
2,189174,,,,,0.999875,,
3,201678,,,,,0.999875,,
4,214174,,,,,0.999542,,
5,250644,,,,,0.999355,,
6,263148,,,,,0.999262,,
7,275644,,,,,0.99921,,
8,288140,,,,,0.99921,,
0,164174,,,,,,0.999886,
0,1412286,,,,,,,0.0
