,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Real,SuRF Base,FST
0,899548,0.0,,,,,,
1,780292,0.173704,,,,,,
2,608966,0.391958,,,,,,
3,481444,0.532186,,,,,,
4,367411,0.635921,,,,,,
5,288727,0.693464,,,,,,
6,212616,0.712898,,,,,,
7,197686,0.718725,,,,,,
8,194490,0.719533,,,,,,
9,194447,0.719533,,,,,,
10,194447,0.719533,,,,,,
0,194447,,0.719533,,,,,
1,194447,,0.719533,,,,,
2,203872,,0.702029,,,,,
3,225870,,0.664668,,,,,
4,300618,,0.608609,,,,,
5,356513,,0.530883,,,,,
6,427262,,0.442348,,,,,
7,510791,,0.346973,,,,,
8,599717,,0.254252,,,,,
9,688908,,0.168637,,,,,
10,766622,,0.0998142,,,,,
11,825980,,0.0517528,,,,,
12,864171,,0.0231983,,,,,
13,884688,,0.008915,,,,,
14,894565,,0.00269018,,,,,
0,176049,,,0.853379,,,,
1,203178,,,0.776486,,,,
2,230308,,,0.679494,,,,
3,257437,,,0.598789,,,,
4,284571,,,0.52964,,,,
5,311695,,,0.471204,,,,
6,338825,,,0.423058,,,,
7,365954,,,0.380981,,,,
8,393084,,,0.352185,,,,
9,420212,,,0.325126,,,,
0,51042,,,,0.801916,,,
1,101992,,,,0.555227,,,
2,152947,,,,0.417316,,,
3,203894,,,,0.311096,,,
4,254850,,,,0.231332,,,
5,305800,,,,0.174572,,,
6,356753,,,,0.12715,,,
7,407701,,,,0.0938427,,,
8,458657,,,,0.0725022,,,
9,509608,,,,0.0527059,,,
0,210966,,,,,0.728002,,
1,223470,,,,,0.728002,,
2,273754,,,,,0.701402,,
3,286258,,,,,0.701402,,
4,298754,,,,,0.644655,,
5,311250,,,,,0.617873,,
6,323754,,,,,0.603276,,
7,336258,,,,,0.595182,,
8,348754,,,,,0.590634,,
0,210966,,,,,,0.728002,
0,903412,,,,,,,0.0
