,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Real,SuRF Base,FST
0,1412317,0.0,,,,,,
1,1281903,0.158906,,,,,,
2,1081108,0.370975,,,,,,
3,904227,0.539961,,,,,,
4,699931,0.702776,,,,,,
5,491905,0.834234,,,,,,
6,327599,0.913801,,,,,,
7,182339,0.955969,,,,,,
8,164186,0.960438,,,,,,
9,164186,0.960438,,,,,,
10,164186,0.960438,,,,,,
0,164186,,0.960438,,,,,
1,164186,,0.960438,,,,,
2,164267,,0.960211,,,,,
3,164739,,0.959005,,,,,
4,166698,,0.955441,,,,,
5,173282,,0.945114,,,,,
6,191639,,0.920961,,,,,
7,258889,,0.871481,,,,,
8,346440,,0.783193,,,,,
9,496004,,0.648407,,,,,
10,708636,,0.476062,,,,,
11,955698,,0.292906,,,,,
12,1174418,,0.143982,,,,,
13,1321250,,0.0519674,,,,,
14,1388598,,0.0128788,,,,,
0,577425,,,0.756154,,,,
1,597578,,,0.710292,,,,
2,617732,,,0.644972,,,,
3,637884,,,0.578016,,,,
4,658038,,,0.520093,,,,
5,678191,,,0.469644,,,,
6,698346,,,0.425969,,,,
7,718499,,,0.391198,,,,
8,738652,,,0.35899,,,,
9,758806,,,0.333976,,,,
0,50240,,,,0.93412,,,
1,100407,,,,0.744524,,,
2,150569,,,,0.599294,,,
3,200736,,,,0.497103,,,
4,250900,,,,0.424396,,,
5,301065,,,,0.357311,,,
6,351233,,,,0.297213,,,
7,401397,,,,0.245935,,,
8,451560,,,,0.211326,,,
9,501728,,,,0.178494,,,
0,164174,,,,,0.966877,,
1,176678,,,,,0.966877,,
2,189174,,,,,0.960395,,
3,201678,,,,,0.960395,,
4,214174,,,,,0.933033,,
5,250644,,,,,0.920111,,
6,263148,,,,,0.913068,,
7,275644,,,,,0.909116,,
8,288140,,,,,0.907124,,
0,164174,,,,,,0.966877,
0,1412286,,,,,,,0.0
